"","Album","Song","Lyrics"
"1","Nothing Was the Same"," tuscan leather "," Comin' off the last record, I'm gettin' 20 million off the record Just to off these records, nigga that's a record I'm livin' like I'm out here on my last adventure Past the present when you have to mention This is nothin' for the radio, but they'll still play it though Cause it's that new Drizzy Drake, that's just the way it go Heavy airplay all day with no chorus We keep it thorough, nigga, rap like this for all of my borough niggas I reached the point where don't shit matter to me, nigga I reached heights that Dwight Howard couldn't reach, nigga Prince Akeem, they throw flowers at my feet, nigga I could go a hour on this beat, nigga I'm just as famous as my mentor But that's still the boss, don't get sent for Get hype on tracks and jump in front of a bullet you wasn't meant for Cause you don't really wanna hear me vent more Hot temper, scary outcome Here's a reason for niggas that's hatin' without one That always let they mouth run Bench players talkin' like starters, I hate it Started from the bottom, now we here, nigga, we made it Yeah, Tom Ford Tuscan Leather smellin' like a brick Degenerates, but even Ellen love our shit Rich enough that I don't have to tell 'em that I'm rich Self explanatory, you just here to spread the story, wassup Sittin' Gucci Row like they say up at UNLV Young rebel, Young Money nothin' you could tell me Paperwork takin' too long, maybe they don't understand me I'll compromise if I have to, I gotta stay with the family Not even talkin' to Nicki, communication is breakin' I dropped the ball on some personal shit, I need to embrace it I'm honest, I make mistakes, I'd be the second to admit it Think that's why I need her in my life, to check me when I'm trippin' On a mission tryna shift the culture Tell me who dissin', I got some things that'll hit the culprit Them strep throat flows, them shits to stop all of the talkin' All of the talkin', got one reply for all of your comments Fuck what you think, I'm too busy, that's why you leave a message Born a perfectionist, guess that makes me a bit obsessive That shit I heard from you lately really relieved some pressure Like aye, B I got your CD, you get an E for effort I piece letters together and get to talkin' reckless Owl chains like credentials, you know you see the necklace My life's a completed checklist I'm tired of hearin' 'bout who you checkin' for now Just give it time, we'll see who's still around a decade from now That's real How much time is this nigga spendin' on the intro? Lately I've been feelin' like Guy Pearce in Memento I just set the bar, niggas fall under it like a limbo The family all that matters, I'm just out here with my kinfolk Off everything my pen wrote we went from Bundy to Winslow This for shorty up on Glengrove who love when I catch my tempo I sip the Pora and listen to Cappadonna (talk to 'em) The fresh prince, just had dinner with Tatyana, no lie All these 90's fantasies on my mind The difference is that with mine, they all come true in due time I might come through without security to check if you're fine That's just me on my solo like fuck it, like YOLO Wanted to tell you, ""Accept yourself"" You don't have to prove shit to no one except yourself And if you end up needin' some extra help, then I could help You know, back on your feet and shit Tryna get my karma up, fuck the guilty and greedy shit How much time is this nigga spendin' on the intro? How this nigga workin' like he got a fuckin' twin though? Life is soundin' crazy, 40 on Martin Scorsese And I wouldn't change a thing if you paid me, now real nigga wassup How much time is this nigga spendin' on the intro? If there's hell below. I'll see you when you get there. Are you enjoyin' yourselves? If we may we'd just like to close off with somethin' a bit inspirational. Hopefully something a bit relevant as to us all are having the same fears, shedding similar tears, and of course dying in so many years. It don't mean that we can't have a good life. So we'd like to just maybe close out with something, some food for thought, for all of us"
"2","Nothing Was the Same"," furthest thing "," Somewhere between psychotic and iconic Somewhere between I want it and I got it Somewhere between I'm sober and I'm lifted Somewhere between a mistress and commitment But I stay down, girl I always stay down, get down, never lay down Promise to break everybody off before I break down Everyone just wait now, so much on my plate now People I believed in they don't even show they face now What they got to say now? Nothin' they can say now Nothin' really changed but still they look at me a way now What more can I say now? What more can I say now? You might feel like nothin' was the same I still been drinkin' on the low, mobbin' on the low Fuckin' on the low, smokin' on the low I still been plottin' on the low, schemin' on the low The furthest thing from perfect like everyone I know I just been drinkin' on the low, mobbin' on the low Fuckin' on the low, smokin' on the low I just been plottin' on the low, schemin' on the low The furthest thing from perfect like everyone I know And I hate that you don't think I belong to ya Just too busy runnin' shit to run home to ya You know that paper my passion Bittersweet celebrations, I know I can't change what happened I can't help it, I can't help it, I was young and I was selfish I made every woman feel like she was mine and no one else's And now you hate me, stop pretendin', stop that frontin', I can't take it Girl don't treat me like a stranger, girl you know I seen you naked Girl you know that I remember, don't be a pretender Gettin' high at the condo, that's when it all comes together You know I stay reminiscing and make-up sex is tradition But you been missin' girl and you might feel like nothin' was the same I still been drinkin' on the low, mobbin' on the low Fuckin' on the low, smokin' on the low I still been plottin' on the low, schemin' on the low The furthest thing from perfect like everyone I know I just been drinkin' on the low, mobbin' on the low Fuckin' on the low, smokin' on the low I just been plottin' on the low, schemin' on the low The furthest thing from perfect like everyone I know Drinkin', smokin', fuckin', plottin' Schemin', plottin', schemin', gettin' money Drinkin', fuckin', smokin', plottin' Schemin', plottin', schemin', gettin' money This the life for me My momma told me this was right for me I got 'em worried, like make sure you save a slice for me I should have Spoons serve you up with a fork and knife for me Your actions make us doubt you Your lack of effort got me rappin' different This the shit I wanna go out to Play this shit at my funeral if they catch me slippin' Naked women swimmin', that's just how I'm livin' Donate a million to some children, that's just how I'm feelin' A nigga fillin' up arenas, who the fuck could see us? I had to Derrick Rose the knee up before I got the re-up Yours truly, the boy I just build and build more, y'all niggas build to destroy Y'all niggas party too much, man, I just chill and record No filler, you feel it now if you ain't feel it before Yes, Lord, this the shit I wanna go out to Yeah yeah, this the shit I wanna go out to"
"3","Nothing Was the Same"," started from the bottom "," Started… (Zombie on the track) Started from the bottom, now we're here Started from the bottom, now my whole team fuckin' here Started from the bottom, now we're here Started from the bottom, now the whole team here, nigga Started from the bottom, now we're here Started from the bottom, now my whole team here, nigga Started from the bottom, now we're here Started from the bottom, now the whole team fuckin' here I done kept it real from the jump Livin' at my momma's house, we'd argue every month Nigga, I was tryna get it on my own Workin' all night, traffic on the way home And my uncle callin' me, like, ""Where you at? I gave you the keys, told you bring it right back” Nigga, I just think it's funny how it goes Now I'm on the road, half a million for a show, and we— Started from the bottom, now we're here Started from the bottom, now my whole team fuckin' here Started from the bottom, now we're here Started from the bottom, now the whole team here, nigga Started from the bottom, now we're here Started from the bottom, now the whole team fuckin' here Started from the bottom, now we're here Started from the bottom, now the whole team here, nigga Boys tell stories 'bout the man Say I never struggled, wasn't hungry, yeah, I doubt it Nigga, I could turn your boy into the man There ain't really much out here that's poppin' off without us Nigga, we just want the credit where it's due I'ma worry 'bout me, give a fuck about you Nigga, just as a reminder to myself I wear every single chain, even when I'm in the house Cause we— Started from the bottom, now we're here Started from the bottom, now my whole team fuckin' here Started from the bottom, now we're here Started from the bottom, now the whole team here, nigga No new niggas, nigga, we don't feel that Fuck a fake friend, where your real friends at? We don't like to do too much explainin' Story stayed the same, I never changed it No new niggas, nigga, we don't feel that Fuck a fake friend, where you real friends at? We don't like to do too much explainin' Story stayed the same through the money and the fame Cause we— Started from the bottom, now we're here Started from the bottom, now my whole team fuckin' here Started from the bottom, now we're here Started from the bottom, now the whole team here, nigga Started from the bottom, now we're here Started from the bottom, now my whole team here, nigga Started from the bottom, now we're here Started from the bottom, now the whole team here, nigga"
"4","Nothing Was the Same"," wu tang forever "," I just love when I'm with you, yeah, this shit is on ten We used to be friends, girl, and even back then You would look at me with no hesitation and you'd tell me baby, it's yours Nobody else's, yeah, this shit belong to nobody, it's yours Nobody else's, yeah, this shit belong to nobody and that What made me think about the game, girl And how I switched it up with a new thing Young nigga came through on his Wu-Tang And nowadays when I ask about who got it, they say it's yours Nobody else's, yeah, this shit belong to nobody, it's yours Nobody else's, yeah, this shit belong to nobody, it's yours It's yours, it's yours, it's yours that's for sure, that's for sure It's yours, it's yours, it's yours that's for sure, that's for sure How you feel about comin' home with a nigga for the night? If you nervous, hit the lights, I know we only fuckin' out of spite Cause your man don't do you right, do you right, I could fuck you so good Then I hit you with the 9 a.m. in Dallas who you like, baby, who you like? Machine gun raps for all my niggas in the back Stadium packed, just glad to see the city on the map I just gave the city life, it ain't about who did it first It's 'bout who did it right, niggas looking like ""Preach"" Open cases on me for a half a million each I find peace knowing that it's harder in the streets, I know Luckily I didn't have to grow there I would only go there cause niggas that I know there I don't know what's getting into me, I just like the rush When you see your enemy somewhere in the club and you realize He just not in a position to reciprocate your energy You ain't ever worried cause he's not who he pretends to be People like Mazin who was a best friend to me Start to become a distant memory, things change in that life And this life started lacking synergy And fuckin' with me mentally, I think it's meant to be Paranoid, always rolling with my mothafuckin' boys But you gotta understand when it's yours They don't really leave your ass with a mothafuckin' choice, man I just love when I'm with you, yeah, this shit is on ten We used to be friends, girl, and even back then You would look at me with no hesitation and you'd tell me baby, it's yours Nobody else's, yeah, this shit belong to nobody, it's yours Nobody else's, yeah, this shit belong to nobody and that What made me think about the game, girl And how I switched it up with a new thing Young nigga came through on his Wu-Tang And nowadays when I ask about who got it, they say it's yours Nobody else's, yeah, this shit belong to nobody, it's yours Nobody else's, yeah, this shit belong to nobody, it's yours It's yours, it's yours, it's yours that's for sure, that's for sure It's yours, it's yours, it's yours that's for sure, that's for sure"
"5","Nothing Was the Same"," own it "," Own it It's yours It's yours Yours... You're still the one that I adore Ain't much out there to have feelings for Guess whose it is? Guess whose it is? Guess whose it is? Guess whose it is? Yours A few bottles on the table, a few waters It ain't a secret, baby, everybody saw us Guess whose it is? Guess whose it is? Guess whose it is? It's yours Next time we fuck, I don't wanna fuck, I wanna make love Next time we talk, I don't wanna just talk, I wanna trust Next time I stand tall, I wanna be standin' for you And next time I spend I want it all to be for you Peakin', I'm peakin' Wake up with me this weekend, we can, oh Guess whose it is? Guess whose it is? Guess whose it is? It's yours Own it, own it, own it, own it, own it, own it, own it, own it Own it, own it, own it, own it, own it, own it, own it, I said Go own that shit, own that shit, own that shit, own that shit Go and own that shit, own that shit, own that shit, you own that shit, go and Own it, own it, own it, own it, own it, own it, own it, own it Own it, own it, own it, own it, own it, own it, own it, I said Go own that shit, own that shit, own that shit, own that shit Go and own that shit, own that shit, own that shit, you own that shit, go and Niggas talk more than bitches these days Just let that shit sink in, ha! Niggas talk more than bitches these days Who could get the pussy quicker these days Still straight with the weed and the liquor these days Cause the new drugs got the kids trippin' these days Bunch of journalists been searchin' for a story My ex-girl been searchin' for a ""sorry"" Couple bitches tryna have me on the Maury Like nigga it's yours, you should be supportin' But where you been at? On tour, gettin' money Y'all don't even really check for me You ain't even hit me when that nigga had threats for me, girl You don't love me, you just say that shit to get to me, girl Cause you got the Batphone and my workline, you should call When the last time you did somethin' for the first time? You done done it all I swear to God, niggas talk more than bitches these days Got you thinkin' that I'm different these days Broken telephone for every single conversation By the time it gets to you, shit switches these days It's yours, it's yours, it's yours, it's... it's always gonna be yours Own it, own it, own it, own it, own it, own it, own it, own it Own it, own it, own it, own it, own it, own it, own it, I said Go own that shit, it's yours, it's yours, own it, own it, own it, own it Own it, baby, own it, it's yours, own that shit, own that shit, own that shit"
"6","Nothing Was the Same"," worst behavior "," Worst... Mothafucka never loved us Fucka never loved us You ain't know, now you know now Still at it, scrub J's with a toothbrush Shit... Niggas still playing my old shit But your shit is like the police askin' us questions Nigga, we don't know shit Flexin'... Nigga, I'm just flexin' Nigga never loved us Do it look like we stressin'? Look at you, look at you and look at you Aww, I'm glad that they chose us 'Cause man it's a mission, tryna fight to the finish Just to see am I finished On my worst behavior, no? They used to never want to hear us Remember? Mothafucka never loved us Remember? Mothafucka! Remember? Mothafucka never loved us I'm on my worst behavior! Don't you ever get it fucked up! Mothafuckas never loved us! Man, mothafuckas never loved us Worst behavior! Mothafuckas never loved us Fucka never loved us! Worst behavior Hold up, hold my phone Mothafuckas never loved us Fucka never loved us Now you want to roll one Mothafucka never loved us So everywhere we go now, full cup Always hated the boy, but now the boy is the man Mothafucka, I done grown up You know me? You know me? I'm liable to do anything When it comes to that you owe me You owe me, you owe me Bitch, you better have my money When I come for that shit like O.D.B On my worst behavior, no? They used to never want to hear us Remember? Mothafucka never loved us Remember? Mothafucka! Remember? Mothafucka never loved us I'm on my worst behavior! Don't you ever get it fucked up! Mothafuckas never loved us! Man, mothafuckas never loved us Worst behavior! Mothafuckas never loved us Fucka never loved us! Worst behavior Who's hot, who not? Tell me who rock, who sell out in stores? You tell me who flop, who copped the new drop, whose jewels got rocks Who else making rap albums, doing numbers like it's pop? Same old pimp, Drake, you know ain't nothin' changed With these funny style niggas, we done put on in the game I just ask for some blessings at my grandmother's grave Then it's back to L.A., open the mail, starin' at the check Enough to make you throw up, man, it's gross what I net I'm with my whole set, tennis matches at the crib I swear I could beat Serena when she playin' with her left Oh, where I reside it look like a resort inside Nigga, where your shit from? I imported mine Bar mitzvah money like my last name Mordecai Fuck you bitch, I'm more than high My momma probably hear that and be mortified This ain't the son you raised who used to take the Acura 5 a.m. then go and shoot Degrassi up on Morningside For all the stuntin', I'll forever be immortalized Yeah, back and forth across the borderline Hate to leave the city, but I've got to do the overtime Gone all the time, even the important times I should let you know ahead I'm comin' back on my worst behavior Remember? Remember? Mothafucka, remember? Hold up, hold my phone, they used to never want to hear us Remember? Mothafucka never loved us Remember? Mothafucka, remember? Worst behavior"
"7","Nothing Was the Same"," from time "," What's up? Been a minute since we kicked it, you've been caught up With them bitches, I don't get it, you're a star love You shouldn't have to deal with that I'd never make you feel like that, cause... I love me, I love me enough for the both of us That's why you trust me, I know you been through more than most of us So what are you? What are you, what are you so afraid of? Darling you, you give but you cannot take love I needed to hear that shit, I hate when you're submissive Passive aggressive when we're texting, I feel the distance I look around the peers that surround me, these niggas tripping I like when money makes a difference but don't make you different Started realizing a couple places I could take it I want to get back to when I was that kid in the basement I want to take it deeper than money, pussy, vacation And influence a generation that's lacking in patience I've been dealing with my dad, speaking of lack of patience Just me and my old man getting back to basics We've been talking 'bout the future and time that we wasted When he put that bottle down, girl that nigga's amazing Well, fuck it, we had a couple Coronas We might have rolled a white paper, just something to hold us We even talked about you and our couple of moments He said we should hash it out like a couple of grown ups You a flower child, beautiful child, I'm in your zone Looking like you came from the 70's on your own My mother is 66 and her favorite line to hit me with is Who the fuck wants to be 70 and alone? You don't even know what you want from love anymore I search for something I'm missing and disappear when I'm bored But girl, what qualities was I looking for before? Who you settling for? Who better for you than the boy, huh? I love me, I love me enough for the both of us That's why you trust me, I know you been through more than most of us So what are you? What are you, what are you so afraid of? Darling you, you give but you cannot take love Thinking 'bout Texas, back when Porscha used to work at Treasures Or further back than that, before I had the Houston leverage When I got Summer a Michael Kors with my momma's debit A weak attempt at flexing, I'll never forget it Cause that night I played her three songs Then we got to talking 'bout something we disagreed on Then she start telling me how I'll never be as big as Trey Songz Boy was she wrong, that was just negative energy for me to feed off Now it's therapeutic blowing money in the Galleria Or Beverly Center Macy's where I discovered Bria Landmarks of the muses that inspired the music When I could tell it was sincere without tryna prove it The one that I needed was Courtney from Hooters on Peachtree I've always been feeling like she was the piece to complete me Now she engaged to be married, what's the rush on commitment? Know we were going through some shit, name a couple that isn't Remember our talk in the parking lot at the Ritz Girl I felt like we had it all planned out, I guess I fucked up the vision Learning the true consequences of my selfish decisions When you find out how I'm living, I just hope I'm forgiven It seem like you don't want this love anymore I'm acting out in the open, it's hard for you to ignore But girl, what qualities was I looking for before? Who you settling for? Who better for you than the boy, huh? I love me, I love me enough for the both of us That's why you trust me, I know you been through more than most of us So what are you? What are you, what are you so afraid of? Darling you, you give but you cannot take love ""Been Baka aka Not Nice from time, G Been a East Side ting Scarborough ting from time, G Been have up di ting dem from time, G So I don't know what's wrong with these Little wasteman out here eh? Y'all need to know yourself."""
"8","Nothing Was the Same"," hold on we re going home "," I got my eyes on you You're everything that I see I want your hot love and emotion endlessly I can't get over you You left your mark on me I want your hot love and emotion endlessly 'Cause you're a good girl and you know it You act so different around me 'Cause you're a good girl and you know it I know exactly who you could be Just hold on, we're going home Just hold on, we're going home It's hard to do these things alone Just hold on, we're going home I got my eyes on you You're everything that I see I want your hot love and emotion endlessly I can't get over you You left your mark on me I want your hot love and emotion endlessly 'Cause you're a good girl and you know it You act so different around me 'Cause you're a good girl and you know it I know exactly who you could be Just hold on, we're going home (going home) Just hold on, we're going home (going home) It's hard to do these things alone (things alone) Just hold on, we're going home (going home) You're the girl, you're the one Gave you everything I loved I think there's something, baby I think there's something, baby You're the girl, you're the one Gave you everything I loved I think there's something, baby I think there's something, baby 'Cause you're a good girl and you know it You act so different around me 'Cause you're a good girl and you know it I know exactly who you could be Just hold on, we're going home (going home) Just hold on, we're going home (going home) It's hard to do these things alone (things alone) Just hold on, we're going home (going home)"
"9","Nothing Was the Same"," connect "," ""There’s 3 balls and a strike. Here's the pitch. It's belted deep to center, Revere goes back, jumps at the wall, and it's gone!"" Isn't it amazing how you talk all this shit and we still lack communication How beautiful our kids would be, girl, I don't need convincing How every conversation starts with ""this time will be different"" Oh, the idea is fun, oh, the idea is fun Oh, the idea is so fun every time At least we try for home run every time Swanging, eyes closed just swanging Same city, same friends if you're looking for me Same city, same friends if you're looking I'll be here just swanging Don't talk to me like I'm famous And don't assume cause I don't respect assumptions bae I'm just tryna connect with somethin' baby Yeah, swanging She just wanna run around the city and make memories That she can barely remember And I'd allow her, talk about pussy power She just wanna run over my feelings Like she drinking and driving in an 18 wheeler And I'd allow her, talk about pussy power She used to say: ""You can be whoever you want, even yourself"" Yeah, I show up knowin' exactly who I was and never leave as myself But when it falls apart, I'm always still down To pick a million tiny little pieces off the ground Wish you would learn to love people and use things And not the other way around Swanging, eyes closed just swanging Same city, same friends if you're looking for me Same city, same friends if you're looking I'll be here just swanging Don't talk to me like I'm famous And don't assume cause I don't respect assumptions bae I'm just tryna connect with somethin' baby I'll be here, just swanging I remember when my schedule was as flexible as she is She call and tell me be here before the sun up I be dressed before we hung up I take Eglinton to 401 east And exit at Markham road in the east end Where all the pretty girls are sleeping My license been expired I renew it after the weekend Fuck I know I said that shit the last 7 weekends Girl I guess procrastination is my weakness I hate stoppin' for gas this late Cause there's niggas creepin and not like how we're creepin' Summer is comin' know you could feel it 20 on pump whatever I ain't got enough to fill it Won't knock on your door My uncle say, ""You drive my whip like it's yours"" I got the pedal to the floor I'm on my motherfuckin' way swangin' Don't fall asleep on me, hang in there I'll be there just swangin' I'll be there just swangin' I treat you good girl like you're famous I know I'm late it's always the same shit But don't fall asleep on me, hang in there I'm on the road right now swangin, girl"
"10","Nothing Was the Same"," the language "," I don't know why they been lyin' But your shit is not that inspirin' Bank account statements just look like I'm ready for early retirement Fuck any nigga that's talking that shit just to get a reaction Fuck going platinum! I looked at my wrist and it's already platinum I am the kid with the motor mouth I am the one you should worry 'bout I don't know who you're referring to Who is this nigga you heard about? Someone just talking that bullshit Man, someone just gave you the run-around Niggas downplayin' the money But that's what you do when the money down I don't waste time puttin' money down I just go straight to who got it and buy it in cash Pussy so good that you gotta come see me on tour And you gotta fly in first class This has been years in the makin' It's all for the city, they know I come right every summer Cash Money Records forever, I'm always big timin' Bitch, I came up right under Stunna, you know it Jealousy in the air tonight, I could tell I will never understand that, but oh well Been ready, it's real, I don't know 'bout you She just want to smoke and fuck I said ""Girl, that's all that we do."" Okay, now you're talkin' my language Now you're talkin' my language Now you're talkin' my language Now you're talkin' my language Been ready, it's real, I don't know 'bout you She just want to smoke and fuck I said ""Girl, that's all that we do."" I'm 'bout to roll one and light it And fuck it, man, no one's invited I got to kill off the weak shit That's got all you niggas excited I can't even listen, you wildin' I'd much rather sit here in silence I send all my money to banks in the islands And eat with Italians, I do People are funny, you don't even know 'Bout the shit that I been through I just want some head in a comfortable bed It could all be so simple Talkin' that shit with you back to me Just know it always get back to me Come get your girl, she been here for three days And she way too attached to me Hate when they get too attached to me I got to get on the bus and get back on the road Get what I can out the country And then I just get on the jet and go back to the cold Can't even drive with the top off I been workin' so hard on the album, I missed the whole summer I just might bring in some girls from Miami To heat up the city, and that's word to Stunna, you know it Jealousy in the air tonight, I could tell I will never understand that, but oh well Been ready, it's real, I don't know 'bout you She just want to smoke and fuck I said ""Girl, that's all that we do."" Okay, now you're talkin' my language Now you're talkin' my language Now you're talkin' my language Now you're talkin' my language Been ready, it's real, I don't know 'bout you She just want to smoke and fuck I said ""Girl, that's all that we do."" Famous and dangerous, you understand me? Showtime, headlines, big time Sunshine, tote 9's, bust mines Flatline, hard grind, high life Stay fly, it's jet time – stunt, nigga! Every time you see a nigga – stunt, nigga! Every time you see a nigga – stunt, nigga! Swag on head to feet nigga – stunt, nigga! I just might bring in some girls from Miami To heat up the city, and that's word to Stunna, you know it"
