"","Album","Song","Lyrics"
"1","Poison Ivy"," happy feet "," Spiders on my feet but you be caught up in the web... X-Files I be draped in Bur-Burberry Late nights like the cemetery Walking dead, look like F-Freddy Cherry color painted Chevy Draped in blood now, super scary Got magic like I'm Ha-Harry Dark magician, you a fairy Hummer yellow, birds like Larry I go too far like Jim-Jim Carrey Killed them, it was necessary I don't wanna get too heavy Have her one night, bet you wanna marry I'm off some shrooms in a place where you cannot be Three jellyfish in a dungeon where reptiles be I feel your love and I see it inside of me Value your friendship, we drink 'til it's over, see I got that laser, it's shooting right out of me Red lava, red fish, red tablets, all growing free You imbeciles try to be, but you cannot be My money was small, but I made it grow rapidly, rapidly Spiders on my feet but you be caught up in the web I hear voices, I see signs, cannot let it go to my head I don't wanna go on, if you die take me instead (Ahh-ahh) I just spend a K up on a reptile in a bed I made 600K, bet that's play money, we set I got scars, no tissue, all my songs they hard like red Save all your luxuries, bitch, I just need a check Fuck with me again, I'll make them insects eat your head, ayy Diamonds dance like Happy Feet, but happy ain't my set Sadboys steal your shit, then we hop-hop up on a jet I'm a silver worm, I hop out the earth, eat my meds I am Lucifer, my universe won't let me rest Diamonds dance like Happy Feet, but happy ain't my set..."
"2","Poison Ivy"," friday the 13th "," Take it all the way, ayy Friday the 13th, you with the maniacs We the wave makers, this is Navy rap We both fucked up, I had to take you back I ain't really sleeping, I take baby naps Won't make it home, won't make it back Crib filled with blow, we brought the 80's back R.I.P. Barron, for you we blowin' sack Can't leave my boys, yeah I got your back Lean need a birch, shawty bringing stacks Haunted house, yeah we on a different path Ice on froze, head on freeze Still sittin' on fours Lemonade and speed Baseball bat at award ceremonies New rings on, on new destiny Money on deck, make the bank call me Chandelier ice castle, on E Ice on froze but my head on freeze Still sittin' on fours Lemonade and speed Dark night, angels dirty when I need a plan I pop, with them birdies, been fly like that 2040, me and gang Gotham City land Wanna find the time, be with you and just hold your hand Leandoer AKA the crow, flying rats and sand When I try to be carefree I just end up sad 21, almost 22, missions on the map Light blue jewelry, 3-6 wrist tan 360 worldwide, put Stockholm on the map Sometimes nightmares don't just end like that Love will find us in the end, but I don't really see that Love will find us in the end, but I don't really need that Ice on froze, head on freeze Still sittin' on fours Lemonade and speed Baseball bat at award ceremonies New rings on, on new destiny Money on deck, make the bank call me Chandelier ice castle, on E Ice on froze but my head on freeze Still sittin' on fours Lemonade and speed I crush rock, like they crush your dreams I crush you if you come between me and the gang I get green cash like the grinch Walk out of hell, all fresh like mint"
"3","Poison Ivy"," french hotel "," She off the pills, and I ask ""Do you wanna?"" She's just mumbling, blood coming out her head I'm off the drink, off the blow, I'm just gonna We in a bathtub, we good here, everywhere She's off the pil-pill, we off the pills She's just mumbling, blood coming out her head I'm off the drink, the drink, the drink I'm off the drink, off the- We in a bathtub, we good here and everywhere I'm in Hawaii, and you know we in a Rover Bitches all on us, knock on my door like Jehova Promote a set, ain't nobody came til you showed up Leave me 500 bands exactly when I show up I'm not feeling too interested, I'm just modest I couldn't stop it, I met the girl we was knockin' We sipping champagne and the blow, we keep it on us See us in the club, you know we keep the knives on us And I be driving in the fast lane, ain't no way to stop us I don't wanna go on, but you know we just say ""fuck it"" She off the pills, and I ask ""Do you wanna?"" She's just mumbling, blood coming out her head I'm off the drink, off the blow, I'm just gonna We in a bathtub, we good here, everywhere She's off the pil-pill, we off the pills She's just mumbling, blood coming out her head I'm off the drink, the drink, the drink I'm off the drink, off the- We in a bathtub, we good here and everywhere She's off the pil-pill, we off the pills She's just mumbling, blood coming out her head I'm off the drink, the drink, the drink I'm off the drink, off the- We in a bathtub, we good here and everywhere"
"4","Poison Ivy"," silicon wings "," I see you, see you, see you (X stacks, x, killer, killer) Killer instincts, stacks up, silicon wings Insect skin, red blood on my timbs Inject sins, all my boys, they gon' win Evil magic in my veins, wearing thin I count two hundred stacks before my day begins Purple kush and purple hearts, live in a world like Sims I'm on a pill, I need more bars, got knives on my rims Crushing K on Visa cards, see you on everything Psycho instincts, red dub, blood wings I might fuck up, I'm not in my memory, it's going thin Into to the mist, into the void, I'm a sith Darth Maul gadgets in the cloak, don't let them in I grew up way too fast before my life took turns I still suffer, burden, and at cross roads, I don't turn I'm in a sanctuary, Saint Mary, I can't learn Months of isolation, I forgot that I could hurt Throw your loud up, clouds up, got my heart with me Throw your crowns up, ice up, keep it smart with me She blew a car up, nice drug, keep it dark with Lean Finna find the light inside, that is dark in me Meet the crowd, fuck towns up, dogs bark with me Blow your heart up, Simpson bar, from the start with me Think she's proud of ya, she found out why she stuck with me In the laundromat, red blood from the sharks with me Killer instincts, stacks up, silicon wings Insect skin, red blood on my timbs Inject sins, all my boys, they gon' win Evil magic in my veins, wearing thin I count two hundred stacks before my day begins Purple kush and purple hearts, live in a world like Sims I'm on a pill, I need more bars, got knives on my rims Crushing K on Visa cards, see you on everything I see you, I see you (see you) (Yeah I'm getting stacks, blood wings)"
"5","Poison Ivy"," ropeman "," Educator Rope man, rope man, grim reaper, dope man Coat man, throat man, yeah let's call the coke man No xans, oh man, why, y'all so broke man Slowing, slowing, take my overdose (Coaching, coaching, yeah you need coaching) Focus, focus, X, life over Take two of these, and you're gone til the morning Zoning, zoning, sunlight soaking Potent, potent, astroboy rolling Other boys trolling, y'all really need to know man Soaking, soaking, potent, potent Real astroboy, bitch we rollin', we rollin' Roses, roses, blood on the roses In the land of dust, I be choking, choking Me and the gang coming through like it's frozen Popping cortex, I said ""fuck my opponents"" (Broken, broken, my spirit can't be broken) Open, open, like a bouquet, you opened She ride me on the beach, like a mermaid with her totem (Leany come through, bitches act like he the pope man) (Dope man) (Yeah, let's call the dope man) (Dope man)"
"6","Poison Ivy"," trashy "," Lately, I've been makin' money, magic But I'm caught up in the traffic Killin' verses, that's a habit Yeah, I'm always stackin', laser tracking Always down to make it happen, wrapped in plastic (Wrap it, wrap it up) Remember back, back, addicts in the attic I was working, Mickey D's, kinda trashy (yeah, I was working) September feelings, but we lavish on the plane Go to Paris, mass massacre, attacking Yeah, I'm still flashy, knives of madness I'm a bore, bank is slacky, get slackin' Call me Alice, I've been poppin' a white rabbit We gon' make it rain cabbage in the palace Since a toddler, I've been swaggin' Since a toddler, I've been having I'm your uncle, not your daddy Call me Alice, I've been poppin' a white rabbit We gon' make it rain cabbage in the castle Lately, I've been makin' money, magic But I'm caught up in the traffic Killin' verses, that's a habit Yeah, I'm always stackin', laser tracking Always down to make it happen, wrapped in plastic (Wrap it, wrap it up) Remember back, back, addicts in the attic I was working, Mickey D's, kinda trashy (yeah, I was working) September feelings, but we lavish on the plane Go to Paris, mass massacre, attacking I don't wanna see your face We ride foreigns in the dirt Lately, I've been coolin' playin' magic My fucking name's savage, I got your bitch, bitch"
"7","Poison Ivy"," sauron "," Green Hellcat mix matched with the jetpack Stacks, rubberband man, land jugger, ten band Damn, Stockholm City, frozen snakes, Gucci headband Damn shawty, way too bad, went to hell and sent back Look back, look back, I don't wanna look back Shook head, loud pack, ridin' with a mousetrap Snakeskin on my timbs, fuck my swag, they took that (Cops in the alley, fuck that) Ice on, fight's on, Lean got the lights on Do wrong, new song, new day, new cakes (Lean) New world, no brakes I be switching on money and hand out two of the bricks Slowly, house fake, word lake, generate, cherry-colored birthplace Lean in the club, it's an earthquake Got the cash, no safe Feeling like I'm Sauron, got that mask on my face Yellow-covered mattress in the set where we scope We the type of boys to change the game and go broke I don't give a fuck, she ride me til my bone broke Champagne nightmare, Fendi, fight fair, wizards with ropes Yellow-covered mattress in the set where we scope We the type of boys to change the game and go broke I don't give a fuck, she ride me til my bone broke Champagne nightmare, Fendi, fight fair, wizards with ropes Ice on, fight's on, Lean got the lights on Do wrong, new song, new day, new cakes (Lean) New world, no brakes I be switching on money and hand out two of the bricks Slowly, house fake, word lake, generate, cherry colored birthplace Lean in the club, it's an earthquake Got the cash, no safe Feeling like I'm Sauron, got that mask on my face Ay New world, no brakes I be switching on money and hand out two of the bricks Ay What you really on?"
"8","Poison Ivy"," bender girlfriend ","Bender Got robotic instincts like I'm Bender Futurama spaceship box of syrup in the blender Reaching for the stacks, long arms man, Slender Riding round town, blowing dough, money spender We all get lost sometimes, but I surrender Trying to spend the night with you, mark my calendar Leandoer's still polo'd down like a settler Freezing moon, started mayhem, nothing's matter Gotta check the price Rubies on my ice Green gate, Colgate, haunted all my life Something ain't right I smell that in the night Weird phone calls, do you still fantasize Had to check the price Rubies on my ice Green gate, Colgate, haunted all my life Something ain't right I smell that in the night Weird phone calls, do you still fantasize Wintertime Rain on my blood Blood, blood, blood rain falling down the sky I see so clearly now Girlfriend I'm scared when you fall, my magazines, you're the star Not far I'm scared when you fall My magazines, you're the star We cannot fall She fell asleep on my arm I'm scared when you fall, my magazines, you're the star We cannot fall She fell asleep on my arm On my arm, on my arm, on my arm, on my arm, on my arm She fell asleep on my arm On my arm, on my arm, on my arm, on my arm, on my arm She fell asleep on my arm I'm scared when you fall, my magazines, you're the star We cannot fall She fell asleep on my arm"
"9","Crash Bandicoot & Ghostface / Shyguy"," crash bandicoot "," Man oh man, you should see all the kinds of friends we've got over here at Foster's Crash Bandicoot bands my hands Trash sandyroad skrrt the land Crash Bandicoot bands my hands Trash sandyroad skrrt the land Crash Bandicoot bands my hands Trash sandyroad skrrt the land Crash Bandicoot bands my hands Trash sandyroad skrrt the land Black antidote I'm on ten I'm in the parking lot where's my man I'm off a xan off a juice off a bean Trapped in our ways ain't nobody live free Like Sherlock Holmes I sneak up on ya easee I don't like trouble but it sure likes me In a French garden on rocks fell asleep Moon by my head and the sun at my feet I tried to paint but I got a disease You and me together could be something free Got a lot of money but ain't shit free Suckers everywhere but bitch I'm suckafree Serpentine serpentine snakes out in Columbine Four cups two cups I'm swerving outta mind 3 girls two nights I'm seeing stars tonight Been in this shit so long I feel traumatized My whip bipolar and my flow schizophrenic Diagnosed bipolar but I made it through the Atlantic My whip bipolar and my flow schizophrenic Diagnosed bipolar but I made it through the Atlantic Get across the damn Atlantic You wanna shake my hand bitch I got all this money Bet that you don't understand it Drop top Cadillac Cop drop samurai I'm sipping lean mixed with bubbly Polo’d down lean but I don't play no rugby Don't play no games with me cause I play ugly My team medieval, our helmets rusty Helmut Lang, Issey Miyake it must be Can't take you seriously now you look suspect I wanna fuck your bones out 'till you love me Connection been going down lately, it's nothing Don't know who to call today It's summer so I'm chilling straight On my porch sipping lemonade Got coke and whiskey hibernate Snakes in desert in my face Shotgun and a issey case Miyake and Yohji on my pants and diamonds in my face Don't know who to call today It's summer so I'm chilling straight On my porch sipping lemonade Got Coke and whiskey hibernate Snakes in desert in my face Shotgun and a issey case Miyake and Yohji on my pants and diamonds in my face Leandoer Foster Blue music And new blues Summer time"
"10","Crash Bandicoot & Ghostface / Shyguy"," ghostface shyguy "," Lean Leandoer (Leandoer in this bitch) I got so much shit up on the stove, it gotta go, I need a boat Money high, my power low, my heart during coke, can't let you go Don't need this shit, don't need these shows I'm on a roll, leave earth, need more So much shit up on the stove Show up in chrome, I leave in gold Don't need to sell my fucking soul, the devil in me, already know I do this for my kin, my folks, my bitch, my bros, might buy my soul You know that I gotta know Do you love me? Can't let me go My cousin pouring Listerine up on the stove, got Louis toes Ghostface, shyguy, dope nice, ride by Sadboys, drain gang, yeah them my guys Ghostface, shyguy, dope nice, ride by Sadboys, drain gang, yeah them my guys Burglar bars around the car Frankenstein boys in my yard Champagne bloody, fast go-karts All my boys, they go too hard Shadow streets, no signs of life Sounds like Rome, straight from dome I go hard, yeah, you go home We not the same, braces filled with stone Sunny, wear it out Purp, dirty sprite You know what, Leandoer, bitches all about I got bitches and ice, yeah they think I'm nice I don't really feel it, hang with snakes that eatin' mice (Pull up, pull up, pull up, pull up) I pour a stripper and get dirty, dirty We from the north, yeah we get flirty, flirty Ay, we got some demons in this birdie, birdie Ay, I fly like an eagle, not no birdie, birdie Ghostface, shyguy, dope nice, ride by Sadboys, drain gang, yeah them my guys Ghostface, shyguy, dope nice, ride by Sadboys, drain gang, yeah them my guys Ghostface, shyguy, dope nice, ride by Sadboys, drain gang, yeah them my guys Ghostface, shyguy, dope nice, ride by Sadboys, drain gang, yeah them my guys"
