"","Album","Song","Lyrics"
"1","Stoney"," broken whiskey glass "," I done drank codeine from a broken whiskey glass I done popped my pills and I smoked my share of grass Slaved for the man and I broke my fuckin' back So you can take your nine-to-five and shove it up your ass And I won't go on, like a highway in hell Going too damn fast, I spilled drink on my Chanel And I woke up and my room's fuckin' trashed like a damn hotel And where I go next, now, only time will tell Whoa-oh Whoa-oh Whoa-oh Whoa-oh I done spent some time chasin' women that don't give a shit I done learned my lessons and I ain't never gon' forget Started callin' this shit, started ballin' and shit, started flickin' that wrist They ain't never listened, now I'm makin' them hits so I'm fuckin' your bitch No, it ain't that difficult for me to forget that you ever exist Bet you remember my name when I pull up in that whip that doesn't exist (skrrt) Spill lean on Supreme last Saturday Let that shit splash, motherfucker talk saucey Pass me them drugs, motherfucker let me try 'em At the White House, call my homie Joe Biden, he flyin' out weed Smokin' my dope, Bathing Ape, that be the clothe Man, don't be silly, that shit you rockin' is old Like it's years since you been to the store Feel like Meek Milly but I ain't from Philly I'm poppin' a wheelie, I show off my grillie I do this for real-y and for my fam-ily Same shit every night, man, it's all so famil'-y The bitches they killin' me Like, bitch are you kiddin' me? Ballin', that shit Jason Kiddin' me You can't get rid of me Now you want my chain and my jeans but you no good at chemistry Whoa-oh Whoa-oh Whoa-oh Whoa-oh"
"2","Stoney"," big lie "," I know, I know I know, I know Mustard on that beat, ho Run it up, run it up Count it up, count it up '95 in my cup Nicotine in my blood Go, run it, run it Count it, count it Go, show me something, ayy, ayy Go, talkin' that shit Keep on barkin' lil' bitch Bitches tryna get lit, damn Rosé poppin' with the Balmain on me And I keep on callin' And they know that I don't answer my cell No, I don't know your momma I got so much commas Girl, you know I'm only into myself Say you flexin', that's a big lie When I pull up, give this bitch life And you know that I'ma get mine, yeah, yeah Say you flexin', that's a big lie When I pull up, give this bitch live And you know that I'ma get mine, yeah, yeah Say you flexin', that's a big lie Say you got that shit you don't got Heard you say that shit a hundred times, yeah, yeah Say you flexin', that's a big lie Say you flexin', that's a big lie Say you flexin', that's a big lie Say you flexin', that's a big lie Ooh, valet the park on the whip The Caddy, the '76 My woman gon' box on a bitch They don't want no part in that shit I got my money jumpin', I'm proud for ballin' on Fade Didn’t watch the game, you can see that shit on replay I just drop the top and I pull up to your party I just grab a Bud and I pop the top on you, pour that water Say you flexin', that's a big lie When I pull up, get this bitch live And you know that I'ma get mine, yeah, yeah Say you flexin', that's a big lie When I pull up, get this bitch live And you know that I'ma get mine, yeah, yeah Say you flexin', that's a big lie Say you got that shit you don't got Heard you say that shit a hundred times, yeah, yeah And I know who we are, yeah And I know that we ballin' When you wanna get this money I don't want your bitch, just know it Say you flexin', that's a big lie When I pull up, get this bitch live And you know that I'ma get mine, yeah, yeah Say you flexin', that's a big lie Say you got that shit you don't got Heard you say that shit a hundred times, yeah, yeah And I know who we are, yeah And I know that we ballin' When you wanna get this money I don't want your bitch, just know it I know, I know I know, I know I know, I know I know, I know"
"3","Stoney"," deja vu "," 'Cause I can't take it no more No, you ain't like them bitches Tell them hoes adios And you can drop your panties Leave them shits at the door Dior falls on the floor I swear we been here before I'm tryna see you from my own perspective You all in my section tryna come to my session We rollin' up pressure, you know that we flexin' We bought all the bottles, we came with the models Girl this a confession, I'm not like your exes I came up from Texas, and now that we textin' You can fly in whenever, now you undressin' Panties on the dresser, your hair gettin' messed up The feelin' we catchin', my love is a blessin' Made love in that Lexus, made love in that Lexus I know you remember (I know you remember) Tell me, is that deja vu? (Ooh, ooh) 'Cause you want me and I want you (ooh, ooh) Tell me, is that deja vu? (Ooh, ooh) 'Cause baby it ain't nothing new, no Tell me, is that deja vu? (Ooh, ooh) 'Cause you want me and I want you (ooh, ooh) Tell me, is that deja vu? (Ooh, ooh) 'Cause baby, this ain't nothing new, no Oh, you acting reckless I told you that I need affection So let me point you in the right direction It's so important that you get the message (oh) Yeah, yeah, I gotta say, gotta say somethin' to you, you, you I'm on a roll, I'm gonna roll out in that new, new, new If you wanna do what I wanna do Well uhm-uhm-uhm Well I guess that is just deja vu Tell me, is that deja vu? (Ooh, ooh) 'Cause you want me and I want you (ooh, ooh) Tell me, is that deja vu? (Ooh, ooh) 'Cause baby it ain't nothing new, no Tell me, is that deja vu? (Ooh, ooh) 'Cause you want me and I want you (ooh, ooh) Tell me, is that deja vu? (Ooh, ooh) 'Cause baby, this ain't nothing new, no Tell me if you want it, baby 'Cause I know I can drive you crazy I just wanted you to know now Oh-oh, oh-oh Show up in that new Mercedes, you already know I'm faded Girl, I've been thinkin' about you lately Oh-oh, oh-oh Tell me, is that deja vu? (Ooh, ooh) 'Cause you want me and I want you (ooh, ooh) Tell me, is that deja vu? (Ooh, ooh) 'Cause baby it ain't nothing new, no Tell me, is that deja vu? (Ooh, ooh) 'Cause you want me and I want you (ooh, ooh) Tell me, is that deja vu? (Ooh, ooh) 'Cause baby, this ain't nothing new, no 'Cause I can't take it no more No, you ain't like them bitches Tell them hoes adios And you can drop your panties Leave them shits at the door Dior falls on the floor I swear we been here before"
"4","Stoney"," no option "," Ho, I look so clean and them motherfuckers just talkin' Show up at the spot and now everyone, they all watchin' Don't wanna prove you wrong but, shit, you leave me with no option, yeah, yeah Everybody asking, ""Post, when is the album droppin'?"" Ever since the very first day at it, I been poppin' Don't wanna prove you wrong but shit, you leave me with no option, yeah, yeah Ooh, swingin' in a four-door Now they takin' photos Bottles, we need more of those, ooh Say she been to every show, yeah Even on the road And she always be in front row, ooh yeah Everything that I worked for Waited so long to get on The Caddy just sits on the chrome I swang through on dubs on the four Baby, wanna get in this S-Class Little mama, she just wanna go fast You know, baby, you don't get a free pass So I told her, ""Ass, gas or grass"" Rolex with the diamonds keep me shinin' Gotta have perfect timin' when I'm ridin' Brand new Aston Martin with no mileage Ooh, ooh, ooh, yeah Ho, I'm so clean and them motherfuckers just talkin' Show up at the spot and now everyone, they all watchin' Don't wanna prove you wrong but shit, you leave me with no option, yeah, yeah Now she hoppin' in a old-school Swimmin' in the carpool Everything is all cool, ooh Yeah, she told me not to tell 'Bout the rumors that I heard She said, ""Everything was all true"", yeah Baby, wanna get in this S-Class Little mama, she just wanna go fast You know, baby, you don't get a free pass So I told her, ""Ass, gas or grass"" Rolex with the diamonds keep me shinin' Gotta have perfect timin' when I'm ridin' Brand new Aston Martin with no mileage Ooh, ooh, ooh, yeah Just me and lil' mama, yeah Ridin' around LA Just me and lil' mama, yeah We own the city, yeah Baby, wanna get in this S-Class Little mama, she just wanna go fast You know baby you don't get a free pass So I told her, ""Ass, gas or grass"" Rolex with the diamonds keep me shining Gotta have perfect timin' when I'm ridin' Brand new Aston Martin with no mileage Oh, oh So come hop in that, ooh What do you wanna do? Put that dime in my coupe With that gold on my tooth, oh, yeah"
"5","Stoney"," cold "," Good job, First Yeah, my wrist so cold and my ice on froze And it's all for you Yeah, my ice so cold and my wrist on froze Yeah it's all for you Yeah, my wrist so cold and my ice on froze Yeah, I'd die for you Yeah, my ice so cold and my wrist on froze Yeah, I'd die for you, oh Oh, oh, oh, yeah, yeah Oh, yeah, yeah, yeah Yeah, stuntin', it's satisfyin' but it don't bring you closure Diamonds my state of mind, I'm drownin' in the ocean Just stay right where you are and don't come any closer I'm just gon' handle mine and just maintain composure People, they say learn from mistakes, yeah You keep your space, yeah, but all this pain, yeah You say you go away, yeah, stay in my lane though You hurt so bad when you went away, yeah I needed you, needed you So what the fuck do I do? I needed you, needed you So what the fuck do I do? Yeah Oh my God, oh my God A lot of bullshit on my mind Oh my God, oh my God I think about you all the time Oh my God, oh my God And I don't care 'bout no money Leave a knot up in my throat Now I'm counting on my own Yeah, my wrist so cold and my ice on froze And it's all for you Yeah, my ice so cold and my wrist so froze Yeah it's all for you Yeah, my wrist so cold and my ice on froze Yeah, I'd die for you Yeah, my ice so cold and my wrist on froze Yeah, I'd die for you My jewelry on, like an ice cube And all I wanna do is just ignite you This Saint Laurent, mama, you look nice too Can't hold my tongue, don't got the heart to Remember when I fell in love? I just came up alone Remember aim three, my fault Told that bad bitch get on my VLONE Hey, don't have much to do, yeah Everything is ruined Ayy, ain't no secret to it Thrown the check like a Nike, I just do it Oh my God, oh my God A lot of bullshit on my mind Oh my God, oh my God I think about you all the time Oh my God, oh my God And I don't care 'bout no money Leave a knot up in my throat Now I'm counting on my own Yeah, my wrist so cold and my ice on froze And it's all for you Yeah, my ice so cold and my wrist so froze Yeah it's all for you Oh, oh, oh, yeah, yeah Oh, yeah, yeah, yeah I ain't runnin', runnin' Oh, oh, oh, yeah, yeah Oh, yeah, yeah, yeah"
"6","Stoney"," white iverson "," Double OT I'm a new three Saucin', saucin', I'm saucin' on you I'm swaggin', I'm swaggin', I'm swaggin', oh-ooh I'm ballin', I'm ballin', Iverson on you (swish) Watch out, watch out, watch out, yeah That's my shot, that's my shot, that's my shot, yeah Spendin', I'm spendin' all my fuckin' pay I got me some braids and I got me some hoes Started rockin' the sleeve, I can't ball with no Joes You know how I do it, Concords on my toes (This shit is hard), ooh I ain't rich yet, but you know I ain't broke, I So if I see it, I like it, buy that from the store, I I'm with some white girls and they lovin' the coca Like they OT Double OT like I'm KD, smokin' OG And you know me, in my 2-3s and my gold teeth Bitch, I'm smiling, bet you see me from the nosebleeds I'm a new three and I change out to my new 3s White Iverson When I started ballin', I was young You gon' think about me when I'm gone I need that money like the ring I never won, I won Saucin', saucin', I'm saucin' on you I'm swaggin', I'm swaggin', I'm swaggin', oh-ooh I'm ballin', I'm ballin', Iverson on you Watch out, watch out, watch out, yeah That's my shot, that's my shot, that's my shot, yeah Spendin', I'm spendin' all my fuckin' pay Ooh, Stoney Cigarettes and a headband Commas, commas in my head, man Slumped over like a dead man Red and black, 'bout my bread, man I'm the answer, never question Lace up, learn a lesson Bitch, I'm saucin', I do this often, don't do no talkin' My options right when I walk in, jump all them Jordans I'm ballin', money jumpin' Like I'm Davis from New Orleans Or bitch I'm Harden, I don't miss nothin' Fuck practice, this shit just happens, know y'all can't stand it I have it, I never pass it, I work my magic High average, ball on these bastards, it makes me happy It's tragic, I make it happen, and all y'all Shaqtin' White Iverson When I started ballin' I was young You gon' think about me when I'm gone I need that money like the ring I never won, I won Saucin', saucin', I'm saucin' on you I'm swaggin', I'm swaggin', I'm swaggin', oh-ooh I'm ballin', I'm ballin', Iverson on you Watch out, watch out, watch out, yeah That's my shot, that's my shot, that's my shot, yeah Spendin', I'm spendin' all my fuckin' pay"
"7","Stoney"," i fall apart "," Oooh, I fall apart Oooh, yeah, mmhmm, yeah She told me that I'm not enough (yeah) And she left me with a broken heart (yeah) She fooled me twice and it's all my fault (yeah) She cut too deep, now she left me scarred (yeah) Now there's too many thoughts goin' through my brain (yeah) And now I'm takin' these shots like it's Novocaine, yeah Oooh, I fall apart Down to my core Oooh, I fall apart Down to my core Oooh, didn't know it before Surprised when you caught me off guard All this damn jewelry I bought You was my shorty, I thought Never caught a feelin' this hard Harder than the liquor I pour Tell me you don't want me no more But I can't let go, everybody told me so Feelin' like I sold my soul Devil in the form of a whore Devil in the form of a whore You said it, no, you said it No, you said that shit, we'd be together, oh Oooh, I fall apart Down to my core Oooh, I fall apart Down to my core Oooh, didn't know it before Surprised when you caught me off guard All this damn jewelry I bought You was my shorty, I thought Ice keep pourin' and the drink keep flowin' Try to brush it off, but it keep on goin' Covered in scars and I can't help showin' Whippin' in the foreign and the tears keep rollin' Ice keep droppin' and the drink keep flowin' Try to brush it off, but it keep on goin' All these scars, can't help from showin' Whippin' in the foreign and the tears keep blowin', yeah Oooh, I fall apart Down to my core Oooh, I fall apart Down to my core Oooh, didn't know it before Surprised when you caught me off guard All this damn jewelry I bought You was my shorty, I thought"
"8","Stoney"," patient "," Yeah, yeah, yeah Yeah, I know my wrist be dancin' crazy (Crazy) Been on some fly shit lately (Lately) Used to be so damn patient (Patient) But now it's ""Fuck you, pay me"" (Pay me) Can't let these motherfuckers phase me (Phase me) Never let that money change me (Change me) Ain't the way my momma raised me (Raised me) Don't mean to brag, but can you blame me? (Yeah) Two hundred K and VVS, yellow diamonds (Skrrt, skrrt) They wanna run up but they won't never find me (No way) Sleep right next to the F&N Motherfuckers the government Shut down all the plotting (Bop, bop, bop) One hundred bands on my body (Ooh, ooh) Yeah, fuck with them boys, touch your body (Touch your body, touch your) Lil' momma just want my pockets (Outta pocket) Yeah, 'Rari take off like a rocket (Skrrt, skrrt, skrrt, skrrt) Yeah, hold up, you too close (Too close) I don't know, I don't know ya (I don't know ya, skrrt, skrrt, skrrt, skrrt, skrrt) Had to run it, run it up How I roll, how I roll, yeah (That's how I roll) It's like after you pop off (Pop off) They all act like they know ya (They know ya) And Young Post be like Pablo (Like Pablo) And they all love to blow, yeah (Yeah, yeah) I know my wrist be dancin' crazy (Whoa) Been on some fly shit lately (Whoa) Used to be so damn patient (Whoa) But now it's ""Fuck you, pay me"" (Yeah) Can't let these motherfuckers phase me (Whoa) Never let that money change me Ain't the way my momma raised me (Whoa) Don't mean to brag, but can you blame me? (Yeah) Two hundred, swerving, dippin', dodge on the highway (Skrrt) You may contain me but you won't never stop me (No) On her way to my residence (Yeah, yeah, yeah) Try message your boo again She pullin' up prolly (Pullin' up prolly) Yeah, strally inside of that Bentley (Inside that Bentley) Yeah, come take a tat' on my belly (Bow, bow) Yeah, people actin' too friendly, man They tryna get dividends (Yeah) This shit is a problem (This shit's a problem) Yeah, you just be talkin' shit but ain't ever met me (Whoa) DeChino fucked your bitch and now you resent me (Whoa) I know them people but they don't represent me (Whoa) Them wastemen, we gonna make 'em all pay (Yeah, whoa) They will never stop the plan Eighty jumpin' off my hand Rollie, Rollie, Rollie (Rollie, Rollie) Bust it open (Bust it open), holy moly (Holy moly) I know my wrist be dancin' crazy (Whoa) Been on some fly shit lately (Yeah, yeah) Used to be so damn patient (Whoa) But now it's ""Fuck you, pay me"" (Whoa) Can't let these motherfuckers phase me (Phase me) Never let that money change me Ain't the way my momma raised me (Raised me) Don't mean to brag, but can you blame me? (Yeah) Oh, oh, oh, oh, whoa Oh, oh, oh, oh, whoa Oh, oh, oh, oh, whoa Oh, oh, oh, oh, whoa Oh, oh, oh, oh, oh Mmm, yeah Mmm, yeah"
"9","Stoney"," go flex "," Lighting stog after stog, I choke on the smoke They tell me to quit, don't listen what I'm told They help me forget that this world is so cold I don't even know what I'm chasin' no more Tell me what I want, just keep searchin' on It's never enough, cup after cup Blunt after blunt I wouldn't give one if I could find a fuck, ha, ha, ha, uh In the cut and I put that on my momma And my bitch called talkin' 'bout some drama I swear there ain't no time for women on the come up It's either the pussy or the commas Man, I just wanna go flex Gold on my teeth and on my neck And I'm stone cold with the flex With my squad and I'm smokin' up a check Man, I just wanna go flex Gold on my teeth and on my neck And I'm stone cold with the flex With my squad and I'm smokin' up a check Uh, yeah, push the gas, get a motherfuckin' nose bleed She ain't never met a youngin' do it like me She got a man but she says she really like me She doin' things to excite me She sendin' all her friends snaps of my new tracks 'Cause all these hoes know whats about to come next I hit my plug up, got the paper connect I drop a couple bands I just wanna go... Man, I just wanna go flex Gold on my teeth and on my neck And I'm stone cold with the flex With my squad and I'm smokin' up a check Man, I just wanna go flex Gold on my teeth and on my neck And I'm stone cold with the flex With my squad and I'm smokin' up a check Knowing all of this, it just don't make a difference I'm just talking shit to the ones that'll listen I come with the heat man, I swear I'm never missing And I'm still the same and I swear I'm never switching Knowing all of this, it just don't make a difference I'm just talking shit to the ones that'll listen I come with the heat man, I swear I'm never missing And I'm still the same and I swear I'm never switching Man, I just wanna go flex Gold on my teeth and on my neck And I'm stone cold with the flex With my squad and I'm smokin' up a check Man, I just wanna go flex Gold on my teeth and on my neck And I'm stone cold with the flex With my squad and I'm smokin' up a check Man, I just wanna go flex Gold on my teeth and on my neck And I'm stone cold with the flex Ice cold with the flex Haha, that shit hard"
"10","Stoney"," feel "," She talking that noise, take her loving with the dawn All while I talk on the phone After we fuck in the morn', she wake up, she wearin' my clothes She always be callin' my phone She always be stealin' my clothes, ayy Askin' me, ""How does it feel when you know you could buy out the store?"", ayy I'm Bathing Ape down to the floor, ayy I'm droppin' the four in the foreign, ayy I came a long way on my own, ayy I'm doin' this shit on my own, ayy I don't give a fuck what I'm told, ayy I came a long way on my own, ayy Now her pussy made out of gold, ayy I swear her pussy owning my soul She got that sauce, yeah Four days a hundred thousand Forever like a diamond She bring me back to life, yeah I'm so fly, I'm martian Quit talkin' all that nonsense I'm just tryna fuck you 'til you don't know nothin', oh I cross my t's and dot my i's yeah I'm for real (yeah, I'm for real) He hold me down (she hold me down) That's my shield (that's my shit) He buy whatever, he know the drill (know the drill) Don't need no pill (no pill, no) He whispered in my ear and told me feel, feel, feel, oh, oh, oh (feel, feel, yeah, feel, feel, yeah) He love that I say what I feel He feel what I say 'cause it's real You couldn't forget, I never changed up on my set And I only make calls to collect, that's why we connect We can go half on a jet, baby, we on to the next Fuck all the stress Fuckin' with bitches who's new to the game when you got you a vet I know you like it when I act like I'm still shy Then turn around and put that thing in overdrive I'm down to ride I'ma keep you on my shoulder 'Cause every cold nigga need a bitch that's ten times colder I cross my t's and dot my i's yeah I'm for real (yeah, I'm for real) He hold me down (she hold me down) That's my shield (that's my shit) He buy whatever, he know the drill (know the drill) Don't need no pill (no pill, no) He whispered in my ear and told me feel, feel, feel, oh, oh, oh (feel, feel, yeah, feel, feel, yeah) Hey, fuck me 'til I can't see straight Make me think that ho was a mistake I just need to feel you all the time Ride ho, ride ho, alright, alright, alright"
