"","Album","Song","Lyrics"
"1","SCUMMY SCUMZ"," shinigami "," Scum Gang! Woah, woah, woah, woah, woah Me and my niggas scummy, scummy Me and my niggas grimy, grimy Me and my niggas Yeah, my niggas scummy, scummy Yeah, my nigga Bamz Yeah, my niggas scummy, scummy Yeah, my nigga Bamz Yeah, my niggas scummy, scummy Yeah, my nigga Bamz Yeah, my niggas scummy, scummy Yeah, my nigga Bamz Respect the shooter 'Cause anytime I got it, I'ma shoot 'em Respect the shooter 'Cause every killer 'round me, I salute 'em Respect the shooter 'Cause anytime I got it, I'ma shoot Respect the shooter 'Cause every killer 'round me, I salute 'em (woop!) Fuck around with them fuck arounds You gon' fuck around and get smoked (rrah) Mess around with them mess arounds You gon' mess around and be broke Get your hustle on with them hustle-lords And I promise you'll get dough (get dough) You talk a lot, you a chatterbox But real niggas lay low (Squad) Look into my eyes, I'm a scum, lil' boy Got the black .44 with the drum, lil' boy Better run, lil' boy, when we come, lil' boy When we playin' with the toys, ain't no fun, lil' boy Came from the slums, where you from, lil' boy? Hit him in the spine, leave him numb, lil' boy I ain't the one, lil' boy, I'm ain't the one, lil' boy Got them hollow tips hotter than the sun, lil' boy Yeah, my niggas scummy, scummy Yeah, my nigga Bamz Yeah, my niggas scummy, scummy Yeah, my nigga Bamz Yeah, my niggas scummy, scummy Yeah, my nigga Bamz Yeah, my niggas scummy, scummy Yeah, my nigga Bamz Respect the shooter 'Cause anytime I got it, I'ma shoot 'em Respect the shooter 'Cause every killer 'round me, I salute 'em Respect the shooter 'Cause anytime I got it, I'ma shoot 'em Respect the shooter 'Cause every killer 'round me, I salute 'em Tell me, tell me, tell me, tell me, tell me Who want drama with me? All I got is sangre with me Bitches saying scratch they kitty Cat bought a whole pack It was either doing that or I'm going back To the bottom with the roaches rats (ah, ah) Roaches rats (ah, ah) I swear that gave me nightmares Kept me up all night with it Bitch wanna suck my dick Her pussy better come all tight with it My body count infinite (woop!) My story true, no gimmick (woop!) Ask about, they ask about You ask about who did it, Tan I got that Tan with that TEC (ah) Please don't disrespect I got that Tan with that TEC (ah) Please don't disrespect I got that Tan with that TEC (ah) Please don't disrespect I got that Tan with that TEC (ah) Please don't disrespect Yeah, my niggas scummy, scummy Yeah, my nigga Bamz Yeah, my niggas scummy, scummy Yeah, my nigga Bamz Yeah, my niggas scummy, scummy Yeah, my nigga Bamz Yeah, my niggas scummy, scummy Yeah, my nigga Bamz"
"2","SCUMMY SCUMZ"," 69 "," She suck my dick until she choke, she drink until her liver pop I swear I only love her when that key up in her fuckin' twat Bust it open, bring it back, bust it open, bring it back Bust it open, bring it back, bust it open, bring it back I eat her with my golds in, I fuck her till she swollen I eat her with my golds in, I fuck her till she swollen Bust it open bring it back, bust it open bring it back Bust it open bring it back, bust it open bring it back She calling me, texting me, blowing up my fuckin' phone And I ain't even fuck that bitch, all I did was catch the dome Steady knocking on my door, I ain't even fucking home Bitches swinging on my dick, won't leave me the fuck alone Bitch leave me the fuck alone, bitch leave me the fuck alone I'm just riding with my dogs, we just tryna catch a bone Just a squirrel in this world, tryna bust a fuckin' nut I see you and fuck a smut, why y'all fuckboys comfort smuts? Nigga where they do that at When the mack clap, it's a dooby wrap It’s a jack move, black, so your better run that When my Jack boys make that Ruger clap Don't make me take my razor and open your face up Don't make me take my razor and open your face up Fronts in, these ain't grills homie Scum Life, this ain't trill homie Give a fuck about how you feel homie Got a .38 and some pills on me Got a lesbian bitch, sucking my dick She know I ain't shit, but she still on me Still on me, still on me She know I ain't shit, but she still on me She suck my dick until she choke, she drink until her liver pop I swear I only love her when that key up in her fuckin' twat Bust it open, bring it back, bust it open, bring it back Bust it open, bring it back, bust it open, bring it back I eat her with my golds in, I fuck her till she swollen I eat her with my golds in, I fuck her till she swollen Bust it open bring it back, bust it open bring it back Bust it open bring it back, bust it open bring it back Bitch gave me the twinkle 'cause she don't wanna wait in line I told her ""Patience is a virtue, baby, you should take your time"" Quit wasting mine, Wallah Dan from that Scum Gang, 69 Scum Life 'till the day I die, Scum Life 'till the day I die My momma told me change my life, but did I listen? Hell no My preacher told me change my life, but did I listen? Hell no My teacher told me change my life, but did I listen? Hell no I rep that Scum Life 69, until I burn in Hell, yo She suck my dick until she choke, she drink until her liver pop I swear I only love her when that key up in her fuckin' twat Bust it open, bring it back, bust it open, bring it back Bust it open, bring it back, bust it open, bring it back I eat her with my golds in, I fuck her till she swollen I eat her with my golds in, I fuck her till she swollen Bust it open bring it back, bust it open bring it back Bust it open bring it back, bust it open bring it back"
"3","SCUMMY SCUMZ"," fuck is you "," Scum Gang! Superstaar Beats Bitch it's Wallah fuckin' Dan, who the fuck is you? (you) You ain't my motherfuckin' mans, who the fuck is you? (you) Brought the cannon to the jam, who the fuck is you? (you) Who the fuck is you, nigga, who the fuck is you? (you) Don't give a fuck what you sayin, who the fuck is you? (you) We don't know you, better scram, who the fuck is you? (you) Scum Gang my only fan, who the fuck is you? (you) Who the fuck is you, nigga who the fuck is you? (you) Tekashi69 from that Scum Squad (squad) Y'all niggas don't want no drama (don't want no drama) First nigga act tough gettin' WorldStar'd (WorldStar!) And I put that on my mama (on my mama) Can't be where I'm at, I don't know you Bet my little niggas run up on you (ah!) They'll leave a nigga flat, no warning Scum Gang, bitch, we on it, trust me 'cause you don't want it You can try 6ix9ine if you wanna die A-A-All my niggas down for the homicide You'll be on a shirt, you'll be in the church Dressed up in a box with ya mama cryin' She kissing your corpse I don't know who you is and you pissing me off I aim at your heart, bullets rip through your cross Rip you apart, stitches can't fix it It's straight to the morgue Better hope you don't slip and get lost in these parts Walk through the park after dark catch a spark Ten o'clock means you'll be out by the charts Scum is the gang, praise to اللّٰ Bitch it's Wallah fuckin' Dan, who the fuck is you? (you) You ain't my motherfuckin' mans, who the fuck is you? (you) Brought the cannon to the jam, who the fuck is you? (you) Who the fuck is you, nigga, who the fuck is you? (you) Don't give no fuck what you sayin, who the fuck is you? (you) We don't know you, better scram, who the fuck is you? (you) Scum Gang my only fan, who the fuck is you? (you) Who the fuck is you, nigga who the fuck is you? (you) Who the fuck is you? Who the fuck is you? Who the fuck is you? Nigga, who the fuck is you?"
"4","SCUMMY SCUMZ"," inferno "," Scum Gang! What?! What?! What?! What?! What?! What?! What?! Young nigga stay wildin' (what?!) Scum niggas all violent (what?!) BX or Long Island (what?!) Bust until we hear the sirens (what?!) Ridin' 'round with them thangs out (what?!) Niggas don't wanna bang out (what?!) Y'all ain’t got that gun talk (what?!) Y'all ain’t got that gun talk Move a ki in weekend (what?!) Move a ki in weekend (what?!) Y'all ain't gettin' no money, man (what?!) Y'all ain't gettin' no money, man (what?!) I'm on the block with the guns out (what?!) You don't wanna get gunned down (what?!) I'm from that block, boy (what?!) I'm from that block, boy (what?!) 16 on my Glock now Pussy nigga get shot down You don't want no war, man You don't want no war, man Scum Gang, niggas know me (what?!) Scum Gang, niggas know me (what?!) On the block catch a felony (what?!) On the block catch a felony (what?!) All the mayhem, all the violence Scum Gang, we the wildest Scum Gang, we the wildest Scum Gang, we the wildest All the mayhem, all the violence Pussy nigga be quiet Scum Gang, we the wildest Scum Gang, we the wildest All the mayhem, all the violence (what?!) Scum Gang, we the wildest (what?!) Scum Gang, we the wildest (what?!) Scum Gang, we the wildest (what?!) All the mayhem, all the violence (what?!) Pussy nigga be quiet (what?!) Scum Gang, we the wildest (what?!) Scum Gang, we the wildest (what?!) Yeah, rollin' with my niggas, rollin' with my squadron I say yeah, we don't know them niggas, so we YOLO Bitches all want the big dick 6ix9ine ain't no kid, bitch Bitches know I get down Bitches know I get down I be on the block, on Locust (what?!) With the coke, I do the hocus pocus (what?!) 360 with the wrist game (what?!) Watch me whip it to a hurricane (what?!) Niggas know I'm gettin' guala (what?!) Guala guala, I'm in Guatemala (what?!) Half Rican, half Mexican (what?!) Put it through your resume (what?!) I do this for my young niggas (what?!) Do this for my Scum niggas (what?!) Can't fuck with a fuck nigga (what?!) Throw your middle fingers up, nigga (what?!) All the mayhem, all the violence Scum Gang, we the wildest Scum Gang, we the wildest Scum Gang, we the wildest All the mayhem, all the violence Pussy nigga be quiet Scum Gang, we the wildest Scum Gang, we the wildest All the mayhem, all the violence (what?!) Scum Gang, we the wildest (what?!) Scum Gang, we the wildest (what?!) Scum Gang, we the wildest (what?!) All the mayhem, all the violence (what?!) Pussy nigga be quiet (what?!) Scum Gang, we the wildest (what?!) Scum Gang, we the wildest (what?!) What?! What?! What?! What?! What?! What?! What?! What?! What?! What?! What?! What?! What?! What?! What?! What?! What?! What?!"
"5","SCUMMY SCUMZ"," pimpin "," Shut up ho, your pussy stank Smack her fast as she could blink Pimp hand shining, kiss my ring No shirt underneath the mink Rub my back and feed me grapes Oxycontin, Lean and base I screw duwop, I fuck her face Shut up bitch, your pussy stank Shut up ho, your pussy stank Smack her fast as she could blink Pimp hand shining, kiss my ring No shirt underneath the mink Rub my back and feed me grapes Oxycontin, Lean and base I screw duwop, I fuck her face Shut up bitch your pussy stank Pussy get a lot of it So fuck hoes, I ain't gotta trip I tell that bitch don't gas yourself Not every chick a model bitch I tell that bitch don't gas yourself Not every chick a model bitch Who let you in my VIP? Fuck up off my bottles bitch Represent that scum gang mane Respect my conglomerate Got a young scum in the cut with the pump If you act tough he gon' splatter shit Wallah don't recycle hoes Hit it once I'm over it Scum gang don't recycle hoes Hit it once we over it Mushroom tops and acid trips While she trip she suck my dick While she suck I count my guap Respect my conglomerate Same day, different shit, same bed, different bitch Scum niggas gettin' rich, respect my conglomerate Shut up ho, your pussy stank Smack her fast as she could blink Pimp hand shining, kiss my ring No shirt underneath the mink Rub my back and feed me grapes Oxycontin, Lean and base I screw duwop, I fuck her face Shut up bitch, your pussy stank Shut up ho, your pussy stank Smack her fast as she could blink Pimp hand shining, kiss my ring No shirt underneath the mink Rub my back and feed me grapes Oxycontin, Lean and base I screw duwop, I fuck her face Shut up ho, your pussy stank What the fuck is y'all hatin' for? Can't a young scum fuck bitches anymore? Can I have a bad bitch without no flaws? To come to see me, without no drawers? What the fuck is y'all hatin' for? Can't a young scum fuck bitches anymore? Can I have a bad bitch without no flaws? Come and see me, without no drawers? Shut up ho, your pussy stank Smack her fast as she could blink Pimp hand shining, kiss my ring No shirt underneath the mink Rub my back and feed me grapes Oxycontin, Lean and base I screw duwop, I fuck her face Shut up bitch, your pussy stank Shut up ho, your pussy stank Smack her fast as she could blink Pimp hand shining, kiss my ring No shirt underneath the mink Rub my back and feed me grapes Oxycontin, Lean and base I screw duwop, I fuck her face Shut up ho, your pussy stan"
"6","SCUMMY SCUMZ"," scumlife "," Scum Gang! Represent the gang, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the gang, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) R—R—R—Represent the gang, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the gang, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the gang, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the squad, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the squad, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the gang, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the gang, nigga, Scum life I don't give a fuck where you at, nigga, Scum life Snatch a nigga chain, nigga, Scum life I don't give a fuck; give it up, nigga, Scum life Bail 20k, nigga, Scum life (Fuck it, you gonna be home tonight, nigga) Scum life Fuck a nigga bitch, nigga, Scum life I don't give a fuck: I'm a pimp, nigga, Scum life (Yo, I'm not feeling this shit, nigga!) Tekashi69 from that Scum fuckin' squad Fuck the law, ice all in my fangs 69 on my arm, I'm a god Flag around a lock, bust you in your jaw, fuck 'em all Shoot you through your jaw, put that on my moms Free my , I was waiting on that juug Cell to cell, got them undercovers knocked me for a sale Sellin' dope, I'm from Bushwick, nigga: hustlin's all I know Sellin' dope, I'm a Scum Gang nigga: hustlin's all I know All I know Represent the gang, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the gang, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the gang, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the gang, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the gang, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the squad, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the squad, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Represent the gang, nigga, throw it up I don't give a fuck where you at, nigga, throw it up (Throw it up) Throw it up, throw it up Throw it up, throw it up Throw it up, throw it up Throw it up, throw it up"
"7","DAY69: Graduation Day"," billy "," That's my word, get up in they face Talk your shit, let your nuts drag, nigga These niggas just runnin' out they fuckin' mouth, man Follow protocol, Blood, get in they fuckin' chest, nigga (Scum Gang!) We the fuckin' M.O.B., nigga These niggas bleed different We don't bleed, nigga We make niggas bleed, Blood TR3YWAY These niggas say they heard of me, I ain't heard of you Get the fuck up out my fuckin' face, 'fore I murder you Bitch niggas always jackin' blood, but I know they fu Whole squad full of fuckin' killers, I'm a killer too Sending shots, shots, shots, shots, shots, nigga Everybody gettin' pop, pop, popped, nigga The thing go rrrah, rrrah, rrrah, rrrah, rrrah, nigga We send shots, shots, shots, shots, shots, nigga It's always 6ix9ine this and 6ix9ine that Nigga's on my dick and on my yack These niggas lookin' for me, you could hit my jack I done dropped my address, y'all know where 6ix9ine at I don't flock, yeah, nine to his back like Ibaka Baka, not nice, with the fuckin' choppa Pop 'em, scope on the nigga, who shot ya? Dropped him, somebody call a fuckin' doctor! Dick up in the pussy, bet that shit get gushy, gushy She want the whole gang bussin' all in her pussy I want the drip, drip while I get my dick licked Lil' sick bitch, lickin' on my dick tip She a freak ho, fuck her, she on beast mode Arch your back, put your hands on your knees, ho I'm on beast mode, shoot you through your peep-hole Said he want smoke, I don't really see it though These niggas say they heard of me, I ain't heard of you Get the fuck up out my fuckin' face, 'fore I murder you Bitch niggas always jackin' blood, but I know they fu Whole squad full of fuckin' killers, I'm a killer too Sending shots, shots, shots, shots, shots, nigga Everybody gettin' pop, pop, popped, nigga The thing go rrrah, rrrah, rrrah, rrrah, rrrah, nigga We send shots, shots, shots, shots, shots, nigga"
"8","DAY69: Graduation Day"," gummo "," Niggas iffy, uh, Blicky got the stiffy, uh Got the blicky, uh, drum, it holds fifty, uh Scum Gang! I'll see y'all later, suuwoo! Pop these niggas like a wheelie, nigga, you a silly nigga In the hood with them billy niggas and them Hoover niggas You run up and they shootin' niggas, we ain't hoopin', nigga Yo KB, you a loser, nigga, up that Uzi, nigga On the stoop, crills in my drawers, your girl on my phone She wanna fuck, but keep her clothes on, I only want the jaw Man that's really all I use her for, I kick her out the door I don't want her, you can keep the whore, she fiendin' for some more In New York my niggas don't Milly Rock, my niggas money bop Blow a case, a nigga throwin' shots, I run 'em off they block Quarter milli in the stash box, I grinded for my spot Niggas talkin' 'bout that cash but my bag worth a lot I don't fuck with no old hoes, only new hoes Put my dick in her backbone, I pass her to my bro I don't love her, that's a sad ho, she a bad ho I'ma fuck her, then I dash home, to the cash ho I'm on some rob a nigga shit, take a nigga bitch Do the dash in the whip, count the cash in the whip I pull up with a stick, I let that shit hit Shout out... but I fucked that nigga bitch Niggas iffy, uh, Blicky got the stiffy, uh Got the blicky, uh, drum it holds fifty, uh Move milli', all my niggas on fifty, uh Talk down, pew pew pew, you silly, uh Hit a stain, fifty bands, all hunnids Spinnin' through ya block, like a pop shove-it Shoot at me I'm shootin' back, I'm gettin' buckets I ain't wanna take his life, but nigga, fuck it I'm on some rob a nigga shit, take a nigga bitch Do the dash in the whip, count the cash in the whip I pull up with a stick, I let that shit hit Shout out... but I fucked that nigga bitch I'm on some rob a nigga shit, take a nigga bitch Do the dash in the whip, count the cash in the whip I pull up with a stick, I let that shit hit Shout out... but I fucked that nigga bitch Scum Gang!"
"9","DAY69: Graduation Day"," rondo "," I'ma do my dance in this bih (I'ma do my dance) She front on me, I throw bands at the bih All up in my pants and I'm rich (yeah) All up on the couch dancing on shit, yeah Pay me in advance, off rip (off rip) Tell Lil' mama do the dance on this dick (dick) Shooter with me got his hands on the (skrr) Brrt brrt, we ain't throwin' hands in this bitch, no (throwin' hands) We ain't throwin' hands in this bitch Throw a couple bands in this bitch (throw a couple bands) Tell the bitches do the dance on the dick Handstand off the bando and she lit, lit I ain't playin' with no wannabe tough nigga I ain't playin' with no wannabe thug nigga In the hood you a rat, you a dub nigga (fuck nigga) I stay with the blicky, glttt-pow, are you dumb nigga? If a nigga feelin' froggy, let him through, let him through Standin' right in your face, nigga do what you do Big homie look at me, like shoot, I'm like, ""Who?"" I got the Big-Mac, kick-back, blow your whole shit back Bitch move When I walk up in the room, bitch move Who was talkin' jockin' this shit, like boom They ain't want static 'til they see me, like move But there he go right there bo-bo-boom We ain't throwin' hands in this bitch (throwin' hands) Throw a couple bands in this bitch (throw a couple bands) Tell the bitch to do the dance on the dick Handstand off the bando and she lit, lit We ain't throwin' hands in this bitch (throwin' hands) Throw a couple bands in this bitch (throw a couple bands) Tell the bitch to do the dance on the dick Handstand off the bando and she lit, lit I got my money in my Bitch, I said I got my money in my Bentley (yeah) I got Rolls Royces, I got coupes, I paid tuition (skrr) My diamonds 12 different colors like a sissy (ergh) Yeah, Patek Philippe's, I forgot to mention (Philippe's) I got suspended, I didn't have to do the dishes (yeah, yeah) I did it up and I didn't never ever listen 20 cars deep, we ain't worried about winnin' (nah) 6ix9ine (yeah), bang red like Heinz All my snake niggas 6 shots in ya spine Money call me, I'ma pick up every time (brrt, brrt) And I got a bands in this bitch, yeah We ain't throwin' hands in this bitch (throwin' hands) Throw a couple bands in this bitch (throw a couple bands) Tell the bitch to do the dance on the dick Handstand off the bando and she lit, lit We ain't throwin' hands in this bitch (throwin' hands) Throw a couple bands in this bitch (throw a couple bands) Tell the bitch to do the dance on the dick Handstand off the bando and she lit, lit Scum Gang!"
"10","DAY69: Graduation Day"," keke "," Scum Gang! I'll be on the block on the regular With my niggas bustin' at the cops, on the regular Bitches suckin' dick, givin' top, on the regular Catch me water whippin' straight drop, on the regular Yeah you know I run up with the shit on the regular Bare-faced, I'ma hit a lick, on the regular Posted with the drop, gun cocked, on the regular Yeah I'm 6ix9ine with the nine, on the regular Niggas want war yeah, kick the door yeah Niggas want the sauce, yeah, shake 'em off yeah I'm still in the hood yeah, bussin' juggs yeah Rollin' through the city, yeah, with my niggas yeah Niggas want that bitch back, I don't chit-chat Run up here? Click clack, blow your shit back Baby I ain't a hot boy, I'm a block boy Double trigger Glock, make him Diddy Bop, boy Nigga, we be bustin' at the opps, on the regular Nigga, we be duckin' from the cops, on the regular Bitches suckin' dick and givin' top on the regular Shit that's on my wrist, it cost a lot, it ain't regular Nigga, if it's comin' from my spot it ain't regular Someone's will is on a different side, it ain't regular You can't take the money when you die, it ain't regular Niggas with me really ready to die on the regular Pull up to his door yeah, get on the floor yeah (yeah) Pull up, we gon' shoot, don't check out the score yet Different colored coupes, money on the floor yeah They know I got juice, drippin', drippin' sauce, yeah Pull up to his door yeah, get on the floor yeah (yeah) Pull up, we gon' shoot, don't check out the score yet Different colored coupes, money on the floor yeah They know I got juice, drippin', drippin' sauce, yeah They know I'ma ball like LaVar (ay) 'Bout to take a trip to the stars Let a nigga drip in designer Ay, makin' money, flip for the mob I fuck it up, I fuck it up, mm yeah Shmegular, that's regular, mm yeah I hit it on the tour bus, ooh yeah If I'm a player, you a slut, ooh yeah I told my .38, ""I love you"" That's my baby, when I pull up she pull up too See the, Hermes on the buckle, and a Lotta bag in the duffle, yeah Leave 'em wetter, let it rain, nigga Put the .30 to your motherfuckin' brain nigga, ah I'm runnin' around with the same niggas Same niggas that'll take a nigga's chain, nigga, huh?"
