"","Album","Song","Lyrics"
"1","1017 Thug"," yeah yeah og boo dirty "," I got a half bird in my M2 Ya'll nigga flexing, ya'll nigga fool Hundred k on her, hundred k on me Got shiny shoes, got shiny jewels Ain't nothing blue, they red clues They at you, and they next too They'll press you, they'll press you They'll cock back, they depressed too They'll press you, they'll press you They'll cock back, they depressed too They'll press you, they'll press you They'll cock back, they depressed too 36 For a brick, too legit to quit Michael Vick, all my dogs yeah they with the shit Catch a point, shake him up like a hit stick Your bitch is... on my dogs like a fucking tick (Skrrt, skrrt) Straight up out that bowl with my fucking wrist I ain't going to jail, so I gotta hit Ain't shoot him in his ass, but I'mma bust his shit I ain't 3hunna, but I'm Sosa bitch My patna got the plug, he serve him everyday Real ice inside my wrist, you can just skate away Stay hot you think I live outside the equator bae Don't play because them sticks sound like these 808s I got a half bird in my M2 Ya'll nigga flexing, ya'll nigga fool Hundred k on her, hundred k on me Got shiny shoes, got shiny jewels Ain't nothing blue, they red clues They at you, and they next too They'll press you, they'll press you They'll cock back, they depressed too They'll press you, they'll press you They'll cock back, they depressed too They'll press you, they'll press you They'll cock back, they depressed too I'm flamed up, my block hot Hundred bands in a shoebox Still no gang, keep a Glock cocked Spit more fire than a matchbox Full cup of that Actavis Yellow diamond like I'm dripping piss Call me H-boogie, you know I move bricks Thug right beside me, call him Money Mitch I'm a Memphis nigga, hard on a bitch All my life I been breaking tricks With the mob squad I might spaz out See too much cash I might crash out Walk in the club, iced out Neck and wrist, lighthouse Ya'll know my life about Rich nigga, walking stash house Balling like Jerry Stackhouse Bad bitch with me, hit the room and knock her back out Crusing through the city, me and Double D Just made a hundred thousand Selling pints of G I got a half bird in my M2 Ya'll nigga flexing, ya'll nigga fool Hundred k on her, hundred k on me Got shiny shoes, got shiny jewels Ain't nothing blue, they red clues They at you, and they next too They'll press you, they'll press you They'll cock back, they depressed too They'll press you, they'll press you They'll cock back, they depressed too They'll press you, they'll press you They'll cock back, they depressed too Everything I do, yeah I do it to make a profit Me and Money Mitch got your bitch right here menage-ing Me and Bo jug just to count them free dollars (?) going crazy, love to shoot that damn chopper He run the mob, bitch, BMG we taking off Salute to real niggas who done made theyself a boss He say that main bitch I just had her at the loft Boss was on that molly, she was licking like a dog Ay, that there irrelevant I'mma paper chaser motherfuck a bitch I'm cooling with my youngins on some hood shit I'm so fuckin' hood, I need a hood bitch I got a half bird in my M2 Ya'll nigga flexing, ya'll nigga fool Hundred k on her, hundred k on me Got shiny shoes, got shiny jewels Ain't nothing blue, they red clues They at you, and they next too They'll press you, they'll press you They'll cock back, they depressed too They'll press you, they'll press you They'll cock back, they depressed too They'll press you, they'll press you They'll cock back, they depressed too"
"2","1017 Thug"," 2 cups stuffed "," All my niggas across the world We broadcasting live from Atlanta G.A Panoramic Porsche Pull up on a bitch like pass me the torch Let me fire this spliff up I ain't from New York, but aye aye bruh I don't need no pork, I just need to 2 cups stuffed Lotta ice, I just need 2 cups stuffed Gimme a cup twice, I just need 2 cups stuffed Go light on the ice, I just need 2 cups stuffed Gamble with ya life if I don't get 2 cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed L-E-A-N-I-N-G Lean, lean, lean, lean, lean lean lean 500 horses inside my machine 500 DNAs in my ding ding Come here bitch, what you chasin' cash? 2 guns up, Ferrari smash 100 pound green, herbie kerbie, trash Smoke a whole ounce, leave ya bitch the ash Panoramic Porsche Pull up on a bitch like pass me the torch Let me fire this spliff up I ain't from New York, but aye aye bruh I don't need no pork, I just need to 2 cups stuffed Lotta ice, I just need 2 cups stuffed Gimme a cup twice, I just need 2 cups stuffed Go light on the ice, I just need 2 cups stuffed Gamble with ya life if I don't get 2 cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed AR 15 inside my trench Plus I blend in with the fuckin' trenches 100 crushed diamond for my fuckin' misses Take the bitch shoppin' cause I fuckin' missed it Ralph Lauren boxers every day and night Bitch, I ain't Barry, but I play with white Bitch, I ain't scary, I could never fright 100 black choppers like a fuckin' night Panoramic Porsche Pull up on a bitch like pass me the torch Let me fire this spliff up I ain't from New York, but aye aye bruh I don't need no pork, I just need to 2 cups stuffed Lotta ice, I just need 2 cups stuffed Gimme a cup twice, I just need 2 cups stuffed Go light on the ice, I just need 2 cups stuffed Gamble with ya life if I don't get 2 cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed Thugga, Thugga, baby"
"3","1017 Thug"," ball "," I pull up, hop out Riding around with that Glock out 40 thou in my left pocket, molly, lean, in my right pocket I'm so thrown I'm just ridin 'round and I'm getting it Cruising through my city serving three-five for the fifties And I'm a gangster for real, that's why the bitch nigga it don't even speak (fuck nigga) Put diamonds in my teeth so talking ain't cheap Well that's just for me cause I just let the money speak With fifty young niggas at all time, that's why I'm an OG Okay my girl ass fat, she got me geeking round this bitch It's money over bitches, but all my niggas want this bitch I got one eye open, yeah I'm peeping through this bitch Hundred deep outside the club, my niggas sneaking through this bitch We gon' ball-ball-ball-ball-ball That's why my niggas got this bitch packed from wall to wall And you know they don't play, I don't even gotta say You playin'? We gon' spray this bitch from wall to wall Hundred deep inside the club, pack that bitch down like sardines Everyone get major puffs, bitch you know we don't drink tea Oh my god nigga try you luck, spray your head with this AR 'chine Baw-bawbaw shoot your ass up, now you frigid like a ding ding No homo, two times, no homo nigga but I'ma show a nigga You're ho life is a game and I'm a controller nigga, ever sold a nigga? (Laughs) Na for real, what's the deal Either kill the shit or get killed And I'm the shit for real like ill (pshh) Nigga put me in let em hold on my private part Friend that ho, I just see Gucci hand print on her body part A hundred percent of real niggas around me, your niggas they kinda hard But forget that, I really really like your kitty cat But OG Okay my girl ass fat, she got me geeking round this bitch It's money over bitches, but all my niggas want this bitch I got one eye open, yeah I'm peeping through this bitch Hundred deep outside the club, my niggas sneaking through this bitch We gon' ball-ball-ball-ball-ball That's why my niggas got this bitch packed from wall to wall And you know they don't play, I don't even gotta say You playin'? We gon' spray this bitch from wall to wall"
"4","1017 Thug"," i m fo real "," All my bitches say I act so numb Cause I got four birds on Christmas I got so many birds stuffed in a rental I might get one of them fucked off in a bando Hey bro, we got a lot of work to do bay I not gonna let her get in my head like crochets I got a habit of buying my kids all the new J's I'm just boolin' in that Phantom drinkin' on bool-aid Ok Boo, okay motherfuckin' Boo Lets break the rules, if I don't know you niggas, you food Ayy, grab that tool, that LMS card, that wooly, wooly, wooly Been through hell, but I'm God's gift like Kooly, Kooly Shout out to Skooly, Skooly My life the truthest, truthest, woah I'm just bicken it with my bloods and we boolin', boolin' A motion picture, picture my life is a movie, movie, movie Like Shaq feet, y'all been gay But I hope my career will take me a long way A long way, a long way She went and tell her friend about the way I'm hitting it She tell her friend she rock nothin' but them Jimmys She tell her friend she was never in them Remy's She like how the hell you put 50,000 in these skinnies? Now I'm forreal, I'm forreal, I'm forreal, I'm forreal, I'm forreal Now I'm a boss you gotta keep me out your business And when I hit it, I'mma get inside her kidney I drink that lean all day, I don't have no limit And just like Master P, change the Alley boy image These niggas singing on they partner without a Grammy award I'm in that 2015 fish with the sign like a fork Yeah, and then that Masi I rap for myself, I don’t really rap for anybody My real name Jeffrey and I ran around the lobby I got 100,000 packs who wanna buy it? I get a geek, she be sneakin' on that molly And I'm swagged the fuck out, I don't need a stylist She went and tell her friend about the way I'm hitting it She tell her friend she rock nothin' but them Jimmys She tell her friend she was never in them Remy's She like how the hell you put 50,000 in these skinnies? Now I'm forreal, I'm forreal, I'm forreal, I'm forreal, I'm forreal"
"5","1017 Thug"," jungle "," I ball in multiple ways, which means I'm athletic You been hustling for ten years, which means you bad at it If a million was nine feet, you wouldn't grab at it But a cracker got five thousand, you would snag at it You niggas stupid dumb, which makes me stupid smart And they be waiting one play while I be playing my part My diamonds ricochet, them diamonds looking dark I be in the crowd with my fans, I have a groupie heart Bitch I be going in, but I ain't naked though And I be flexed up, I own the beau tux', yo! Them niggas wifing them, we be on the next hoes And I kick the super shit, but Boots leg broke Yeah! And this beat crazy But I've been fucking beats, that's how I got two babies Yay, shouts out to real lil' Haiti What are babies born with rabies, ugh Cleveland Ave is a concrete jungle (It is) It's a jungle (It is) It's a jungle (It is) Niggas from the ave don't fumble They can't fumble (Yeah) They won't fumble Cleveland Ave is a concrete jungle (It is) It's a jungle (It is) It's a jungle (It is) Niggas from the ave don't fumble They can't fumble (Yeah) They won't fumble What's the beefing about? And niggas say they shooting? Shit, they snuck and shot me, what's the sneaking about? What's the cheating about? Or they eating what 'bout Shit, I don't sneak, I don't cheat, I just see and hop out Then I start gunnin' Then they start runnin' And I start runnin' You know how that go Where I'm from, niggas might buy a deuce or four And then later, I'm kicking the door Big Jumbo fo' sho' Yeah! Shouts out to the ROC crew Unfunk I got us, I mean I got you You like a new pair of shoes, I gotta cop you And when you get home, I swear they ain't gonna stop you From doing nothing, shouts out to 2011 Shouts out to all 11 of the kids And when I talk to my momma, I still sit on her like a kid And if you have them racks, my ho will sit on you like a wig Ya dig?"
"6","1017 Thug"," scared of you "," I'm gonna act like I don't but you know I wanna 1008 grams and that's a whole thing Thugger got a million dollar persona Girl you got me hooked just like cocaine I'mma make it rain, I can never, never be scared of you I'm gone make it rain shawty, I can never be scared of you I can never be scared of you, I can never be scared of you I'm gone make it rain baby, I can never be scared of you You're a scaredy cat, I'ma scare a cat I'm just playin', I love necks and brats I was raised up off similac But now, I eat chips and bakes Goonies never slack So come here I can change your ears and career I'm smokin' that sour leave a bitch in tears This .40 electric just like a eel And I am fuckin' for real You got to know I ride for my bitch And you got to know she one of the reasons I'm rich And you got to know she have fun ridin' that shhh And you got to know she can't wait it ain't free fish, yeah I'm gonna act like I don't but you know I wanna 1008 grams and that's a whole thing Thugger got a million dollar persona Girl you got me hooked just like cocaine I'mma make it rain, I can never, never be scared of you I'm gone make it rain shawty, I can never be scared of you I can never be scared of you, I can never be scared of you I'm gone make it rain baby, I can never be scared of you Be with me, you'd rather babe Fuck all of your friends, them hoes are scandalous babe No lie you might can't get my dick for ransom baby No homo but the dick so big that you might get captured babe And I see you dressed to impress you the best You a mess, you make them young hoes stress They rockin' Jordans, you in a Hermes dress The cheapest one cost $1500, no less She wear Fendi slippers when she hop up out the shower I get close behind her, like an e-way She wear real boogers, she say princess cuts like powder All my bros got power, baby girl, but we not Austin you I'm gonna act like I don't but you know I wanna 1008 grams and that's a whole thing Thugger got a million dollar persona Girl you got me hooked just like cocaine I'mma make it rain, I can never, never be scared of you I'm gone make it rain shawty, I can never be scared of you I can never be scared of you, I can never be scared of you I'm gone make it rain baby, I can never be scared of you"
"7","1017 Thug"," murder "," Murder she wrote, murder she wrote, murder she wrote Murder she wrote, murder she wrote, murder she wrote Murder, murder, murder, murder, murder, murder, murder Murder, murder, murder, murder, murder, murder, murder Murder, murder, murder, murder, murder, murder, murder Murder she wrote No bird, I'm pickin' peacock trees I'm just trying to raise it up for all to see Don't play or I send all the B's And this bitch tryna get a hold of these bees I remember ridin' around with .223s But I'm thankful for my giving, no knees Any blunts that we smoke bigger than legs 12 smell 'em, they tryna pull up and make us leave Young Thugger be Pillsbury Dough, baby Young Thugger take a brick and make it snow baby Young Thugger turn a nine into a ho baby When you leave Thug, you gotta change the clothes baby Murder she wrote, murder she wrote, murder she wrote Murder she wrote, murder she wrote, murder she wrote Murder, murder, murder, murder, murder, murder, murder Murder, murder, murder, murder, murder, murder, murder Murder, murder, murder, murder, murder, murder, murder Murder she wrote Now ever since I can remember I've thugged my car tryna get a couple dollars, woah Got more handguns than choppers More choppers than rastas Got more rastas than followers, woah You can't go near my style, you'se a young thug imposter Lyin' in this jungle, call me Young Thug Mufasa We just livin' life and like a flu car you cop us And if a nigga bases is loaded, we red sock 'em Stop my grind and now I'm ridin', I'm gone kill your friend Do it smart, even though it's a sin, you won't see the pen I got work, we get bands and I won't be your man And if you get it, understand, I said I won't be your man Murder she wrote, murder she wrote, murder she wrote Murder she wrote, murder she wrote, murder she wrote Murder, murder, murder, murder, murder, murder, murder Murder, murder, murder, murder, murder, murder, murder Murder, murder, murder, murder, murder, murder, murder Murder she wrote"
"8","1017 Thug"," nigeria "," You no wet mi, I dare ya Me get you in Nigeria Take a trip to Jamaica Smoking weed from Nigeria Take a look in the mirror All I see is a millionaire Take a trip to Siberia Oh so cold in Siberia You know take all the city Like I got keys know this here Young Thugga frigid My flow is hot like a motherfucking skillet When I look at myself look like a million ticket Rich Gang baby I drove my momma crazy Then I went brazy 1017 try to make me Like a motherfucking baby Still blowing trust funds, all hundreds On a nigga hun and a nigga son I'm fly as a motherfucker Put my cape on Oh yeah You no wet mi, I dare ya Me get you in Nigeria Take a trip to Jamaica Smoking weed from Nigeria Take a look in the mirror All I see is a millionaire Take a trip to Siberia Oh so cold in Siberia Bitch can’t tell me nothing Nigga can’t tell me nothing else Got 2 mill on me right now You can have money and still wouldn’t know how 2 punch in my back pot, bitch you hit the jackpot Bitch get with these have gots You fuckin with them have nots I’m the type of nigga drop cash on em He the type of nigga go half on it I ain't trying to run a tab on it cause the ass so fat, gotta grab on it Yeah Gucci man it’s the boss hunned I don’t drive cars that’s all sunny Got a Charger cost more than a Maybach So I know my homeboy Rick Ross want it And they call me like 2 hunned I 223 2 snow bunnies The difference my car your car My car cost way more money Thank shot he got dome called Let they call me no money That young nigga my real dog He’ll do anything for me You no wet mi, I dare ya Me get you in Nigeria Take a trip to Jamaica Smoking weed from Nigeria Take a look in the mirror All I see is a millionaire Take a trip to Siberia Oh so cold in Siberia Do you know what I do to you Plet your bitch from you Turn her shoes into Jimmy Choo Early in the morning, sipping mud is what players do Take her down, slass them Let her know that my side blue And let her shoot my busses Baby tell em before noon You making boss moves, damn girl What you tryina do Is how a boss move, the better ...for you And now the ass, that fendi dress a little nice on you With all this cash, I never want to not spend it on you Take a flight just to fuck on you San francisco, just smoke cookies And if I always talk, I might bust on you And you ain’t getting your money And you might wanna watch your lady I’m on molly tryina fuck me something Got a whole lot of OG bags And I ain’t worried bout nothing"
"9","1017 Thug"," dead fo real "," You know I'm trynna make a mili You know I turn a broke ho into a fuckin' (?) I thug for life, my nickname Makaveli Fuckin' right, a February nigga scary She braid my hair, R. motherfuckin' Kelly She shave with Nair, pussy sticky like jelly We in the Air Force, they call us Nelly And this real Thug, yup it came from Jeffrey Yup, my molly see through like jelly .. fish And we ain't gotta watch TV, let's make a dish I'm sharper than a motherfuckin' razor, razor 100 extra thousand in my blazer, blazer Fuck you too good, wake up the neighbor, neighbor Ay bruh, say her, everything red like a laser And everything red like my label All on my time piece, that for real Goon right behind me, that for real You now they ain't gone try me, that for real You know they gone die, be dead for real Them bitches love Young Thug, that for real I'm up like a (?), that for real I don't care about smelling like her, that for real I'm a Young player, need a pimp cup, that for real Shout out to pour six slugs and .38 with six slug A youngin' thuggin' with a .38 to hit ya This ain't a plastic gun, this thug life nigga Young Thugger Thugger live the thug life with me We from Jonesburg South, no strap no trap Longway in the booth strapped now, nigga Marked up like a vato, get with them choppo Clean bricks runnin' through em nigga, hella guapo And we got four spots, Be different narcs though When the doors swanging, just Bentley put yoppa on 'em 2013 drop top, just to pop on 'em Thugger Thugger, ya I seen, Forgiato no limp He got a lot of suckers mad with they lip out That's why I stand extra there with my clip out Before these suckers Thugger Hit the lot and bust a bag on 'em Pouring OG bag gas money on 'em, Longway All on my time piece, that for real Goon right behind me, that for real You now they ain't gone try me, that for real You know they gone die, be dead for real Them bitches love Young Thug, that for real I'm up like a (?), that for real I don't care about smelling like her, that for real I'm a Young player, need a pimp cup, that for real"
"10","1017 Thug"," condo music "," I'll shoot at you and yo' ho like a porno movie I'm always high, call this condo music And if the girl wanna come, let her in Word around town is that them young niggas went in I'm sittin' at the end while you still beginning I love her friends, I love her friends, oh yeah He ain't came in my spot, come skatin' under my blocks Unless you heard bout it, then get shot .. I ain't no ho nigga And even at a concert, I'll show a nigga Or just like double seals, I'll pour that nigga That's my protocol, my word law My birds soft, my horse boss Feed me, feed me I don't rap for free, the opposite of free be.. I want a whole grammy, I wanna hit yo nanny I'll take another .5 now I'm the last standing I call him Damu Nick, cause he stay with that cannon And he gone sit in your front yard, even if you was Stanley I'll shoot at you and yo' ho like a porno movie I'm always high, call this condo music And if the girl wanna come, let her in Word around town is that them young niggas went in I'm sittin' at the end while you still beginning I love her friends, I love her friends, oh yeah I should take a pic, all this fly shit I got on I'm fly, I'm fly, like I've been airborne Yo' girl suck me up, she suck me up like she work on porn It's so hot, it's so hot call her remy like all star I'll take a aim and skeet right in her jaw You ain't gettin' paper that's a personal problem, it ain't my fault I'm too focused and level-headed, fill up a money vault You try some stupid shit, pull out the sticks and come chalk 'em out I'm on 4 different drugs, shit I'm high as a loft I just buy expensive clothes, fuck what the shit cost Keep a closet full of work, ain't no such thing as drought 'migo drop 'em off, we get 'em in and we get 'em out I'll shoot at you and yo' ho like a porno movie I'm always high, call this condo music And if the girl wanna come, let her in Word around town is that them young niggas went in I'm sittin' at the end while you still beginning I love her friends, I love her friends, oh yeah"
